Reviewer1;key;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
N;journals/biodb/WilkinsonATWBWB20;CerealsDB - new tools for the analysis of the wheat genome: update 2020.;Paul A. Wilkinson, Alexandra M. Allen, Simon Tyrrell, Luzie U. Wingen, Xingdong Bian, Mark O. Winfield, Amanda Burridge, Daniel S. Shaw, Jan Zaucha, Simon Griffiths, Robert P. Davey, Keith J. Edwards, Gary L. A. Barker;2020;Database J. Biol. Databases Curation;Journal Articles;https://dblp.org/rec/journals/biodb/WilkinsonATWBWB20;https://doi.org/10.1093/database/baaa060;;2020;;;;10.1093/DATABASE/BAAA060
N;journals/biodb/WuTCNTL18;YHMI: a web tool to identify histone modifications and histone/chromatin regulators from a gene list in yeast.;Wei-Sheng Wu, Hao-Ping Tu, Yu-Han Chu, Torbjörn E. M. Nordling, Yan Yuan Tseng, Hung-Jiun Liaw;2018;Database J. Biol. Databases Curation;Journal Articles;https://dblp.org/rec/journals/biodb/WuTCNTL18;https://doi.org/10.1093/database/bay116;bay116;2018;;;;10.1093/DATABASE/BAY116
N;journals/biodb/YangYYJ21;An update of KAIKObase, the silkworm genome database.;Ching-chia Yang, Kakeru Yokoi, Kimiko Yamamoto, Akiya Jouraku;2021;Database J. Biol. Databases Curation;Journal Articles;https://dblp.org/rec/journals/biodb/YangYYJ21;https://doi.org/10.1093/database/baaa099;;2021;;;;10.1093/DATABASE/BAAA099
Y;journals/bpmj/ArunagiriR15;Data perspectives of workflow schema evolution.;Aravindhan Arunagiri, Parthasarathy Ramachandran;2015;Bus. Process. Manag. J.;Journal Articles;https://dblp.org/rec/journals/bpmj/ArunagiriR15;https://doi.org/10.1108/BPMJ-07-2013-0097;172-189;21;1;;;10.1108/BPMJ-07-2013-0097
Y;journals/corr/abs-1103-0711;Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support;Marco Piccioni, Manuel Oriol, Bertrand Meyer;2011;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1103-0711;http://arxiv.org/abs/1103.0711;;abs/1103.0711;;;;
N;journals/corr/abs-1103-4979;Functional dependency in relational databases (adapted after M.Y.Vardi's survey);K. Viswanathan Iyer;2011;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1103-4979;http://arxiv.org/abs/1103.4979;;abs/1103.4979;;;;
N;journals/corr/abs-1109-6885;Fast Updates on Read-Optimized Databases Using Multi-Core CPUs;Jens Krüger , Changkyu Kim, Martin Grund, Nadathur Satish, David Schwalb, Jatin Chhugani, Hasso Plattner, Pradeep Dubey, Alexander Zeier;2011;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1109-6885;http://arxiv.org/abs/1109.6885;;abs/1109.6885;;;;
N;journals/corr/abs-1203-0055;Stochastic Database Cracking: Towards Robust Adaptive Indexing in Main-Memory Column-Stores;Felix Halim, Stratos Idreos, Panagiotis Karras, Roland H. C. Yap;2012;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1203-0055;http://arxiv.org/abs/1203.0055;;abs/1203.0055;;;;
N;journals/corr/abs-1205-4655;The View-Update Problem for Indefinite Databases;Luciano Caroprese, Irina Trubitsyna, Miroslaw Truszczynski, Ester Zumpano;2012;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1205-4655;http://arxiv.org/abs/1205.4655;;abs/1205.4655;;;;
N;journals/corr/abs-1902-00846;A Billion Updates per Second Using 30, 000 Hierarchical In-Memory D4M Databases.;Jeremy Kepner, Vijay Gadepally, Lauren Milechin, Siddharth Samsi, William Arcand, David Bestor, William Bergeron, Chansup Byun, Matthew Hubbell, Michael Houle , Michael Jones , Anne Klein, Peter Michaleas, Julie Mullen, Andrew Prout, Antonio Rosa, Charles Yee, Albert Reuther;2019;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1902-00846;http://arxiv.org/abs/1902.00846;;abs/1902.00846;;;;
N;journals/corr/abs-1902-06427;Schema Validation and Evolution for Graph Databases.;Angela Bonifati, Peter Furniss, Alastair Green, Russ Harmer, Eugenia Oshurko, Hannes Voigt;2019;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1902-06427;http://arxiv.org/abs/1902.06427;;abs/1902.06427;;;;
N;journals/corr/abs-1903-00731;HISTEX (HISTory EXerciser) : A tool for testing the implementation of Isolation Levels of Relational Database Management Systems.;Dimitrios Liarokapis, Elizabeth ONeil, Patrick ONeil;2019;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1903-00731;http://arxiv.org/abs/1903.00731;;abs/1903.00731;;;;
N;journals/corr/abs-1911-11387;Cracking In-Memory Database Index A Case Study for Adaptive Radix Tree Index.;Gang Wu , Yidong Song, Guodong Zhao, Wei Sun, Donghong Han, Baiyou Qiao, Guoren Wang, Ye Yuan;2019;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-1911-11387;http://arxiv.org/abs/1911.11387;;abs/1911.11387;;;;
N;journals/corr/abs-2003-00054;An Empirical Study on the Design and Evolution of NoSQL Database Schemas.;Stefanie Scherzinger, Sebastian Sidortschuck;2020;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2003-00054;https://arxiv.org/abs/2003.00054;;abs/2003.00054;;;;
N;journals/corr/abs-2004-00241;Regret Bounds for LQ Adaptive Control Under Database Attacks (Extended Version).;Jafar Abbaszadeh Chekan, Cedric Langbort;2020;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2004-00241;https://arxiv.org/abs/2004.00241;;abs/2004.00241;;;;
N;journals/corr/abs-2008-10925;Replicability and Reproducibility of a Schema Evolution Study in Embedded Databases.;Dimitri Braininger, Wolfgang Mauerer, Stefanie Scherzinger;2020;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2008-10925;https://arxiv.org/abs/2008.10925;;abs/2008.10925;;;;
N;journals/corr/abs-2010-07586;Survive the Schema Changes: Integration of Unmanaged Data Using Deep Learning.;Zijie Wang, Lixi Zhou, Amitabh Das, Valay Dave, Zhanpeng Jin, Jia Zou;2020;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2010-07586;https://arxiv.org/abs/2010.07586;;abs/2010.07586;;;;
N;journals/corr/abs-2012-10489;XAI4Wind: A Multimodal Knowledge Graph Database for Explainable Decision Support in Operations & Maintenance of Wind Turbines.;Joyjit Chatterjee, Nina Dethlefs;2020;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2012-10489;https://arxiv.org/abs/2012.10489;;abs/2012.10489;;;;
N;journals/corr/abs-2101-10892;Online Body Schema Adaptation through Cost-Sensitive Active Learning.;Gonçalo Cunha, Pedro Vicente, Alexandre Bernardino, Ricardo A. Ribeiro, Plinio Moreno;2021;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2101-10892;https://arxiv.org/abs/2101.10892;;abs/2101.10892;;;;
N;journals/corr/abs-2102-04062;An Update of a Progressively Expanded Database for Automated Lung Sound Analysis.;Fu-Shun Hsu, Shang-Ran Huang, Chien-Wen Huang, Yuan-Ren Cheng, Chun-Chieh Chen, Jack Hsiao, Chung-Wei Chen, Feipei Lai;2021;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2102-04062;https://arxiv.org/abs/2102.04062;;abs/2102.04062;;;;
N;journals/corr/abs-2103-15942;DP-Sync: Hiding Update Patterns in Secure Outsourced Databases with Differential Privacy.;Chenghong Wang, Johes Bater, Kartik Nayak, Ashwin Machanavajjhala;2021;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2103-15942;https://arxiv.org/abs/2103.15942;;abs/2103.15942;;;;
N;journals/corr/abs-2104-01146;An Empirical Characterization of Event Sourced Systems and Their Schema Evolution - Lessons from Industry.;Michiel Overeem, Marten Spoor, Slinger Jansen, Sjaak Brinkkemper;2021;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2104-01146;https://arxiv.org/abs/2104.01146;;abs/2104.01146;;;;
N;journals/corr/abs-2104-11787;MigCast in Monte Carlo: The Impact of Data Model Evolution in NoSQL Databases.;Andrea Hillenbrand, Uta Störl, Shamil Nabiyev, Stefanie Scherzinger;2021;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2104-11787;https://arxiv.org/abs/2104.11787;;abs/2104.11787;;;;
N;journals/corr/abs-2110-12717;A Distillation Learning Model of Adaptive Structural Deep Belief Network for AffectNet: Facial Expression Image Database.;Takumi Ichimura, Shin Kamada;2021;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2110-12717;https://arxiv.org/abs/2110.12717;;abs/2110.12717;;;;
N;journals/corr/abs-2202-03400;Private Read Update Write (PRUW) with Storage Constrained Databases.;Sajani Vithana, Sennur Ulukus;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2202-03400;https://arxiv.org/abs/2202.03400;;abs/2202.03400;;;;
N;journals/corr/abs-2205-11660;A Taxonomy of Schema Changes for NoSQL Databases.;Alberto Hernández Chillón, Meike Klettke, Diego Sevilla Ruiz, Jesús García Molina;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2205-11660;https://doi.org/10.48550/arXiv.2205.11660;;abs/2205.11660;;;;10.48550/ARXIV.2205.11660
N;journals/corr/abs-2208-06832;An Updated Database of Z4 Codes.;Nuh Aydin, Yiang Lu, Vishad R. Onta;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2208-06832;https://doi.org/10.48550/arXiv.2208.06832;;abs/2208.06832;;;;10.48550/ARXIV.2208.06832
N;journals/corr/abs-2209-02334;An Adaptive Column Compression Family for Self-Driving Databases.;Marcell Fehér, Daniel E. Lucani, Ioannis Chatzigeorgiou;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2209-02334;https://doi.org/10.48550/arXiv.2209.02334;;abs/2209.02334;;;;10.48550/ARXIV.2209.02334
N;journals/corr/abs-2210-03958;Online Schema Evolution is (Almost) Free for Snapshot Databases.;Tianxun Hu, Tianzheng Wang , Qingqing Zhou;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2210-03958;https://doi.org/10.48550/arXiv.2210.03958;;abs/2210.03958;;;;10.48550/ARXIV.2210.03958
N;journals/corr/abs-2210-16613;Diverse Parallel Data Synthesis for Cross-Database Adaptation of Text-to-SQL Parsers.;Abhijeet Awasthi, Ashutosh Sathe, Sunita Sarawagi;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2210-16613;https://doi.org/10.48550/arXiv.2210.16613;;abs/2210.16613;;;;10.48550/ARXIV.2210.16613
N;journals/corr/abs-2211-09956;A Persian ASR-based SER: Modification of Sharif Emotional Speech Database and Investigation of Persian Text Corpora.;Ali Yazdani, Yasser Shekofteh;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2211-09956;https://doi.org/10.48550/arXiv.2211.09956;;abs/2211.09956;;;;10.48550/ARXIV.2211.09956
N;journals/corr/abs-2211-13810;Enhanced Inversion of Schema Evolution with Provenance.;Tanja Auge, Andreas Heuer;2022;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2211-13810;https://doi.org/10.48550/arXiv.2211.13810;;abs/2211.13810;;;;10.48550/ARXIV.2211.13810
N;journals/corr/abs-2302-03670;Private Read Update Write (PRUW) With Heterogeneous Databases.;Sajani Vithana, Sennur Ulukus;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2302-03670;https://doi.org/10.48550/arXiv.2302.03670;;abs/2302.03670;;;;10.48550/ARXIV.2302.03670
N;journals/corr/abs-2302-04097;ASTRIDE: Adaptive Symbolization for Time Series Databases.;Sylvain W. Combettes, Charles Truong, Laurent Oudre;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2302-04097;https://doi.org/10.48550/arXiv.2302.04097;;abs/2302.04097;;;;10.48550/ARXIV.2302.04097
N;journals/corr/abs-2303-08583;F-IVM: Analytics over Relational Databases under Updates.;Ahmet Kara , Milos Nikolic , Dan Olteanu, Haozhe Zhang;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2303-08583;https://doi.org/10.48550/arXiv.2303.08583;;abs/2303.08583;;;;10.48550/ARXIV.2303.08583
N;journals/corr/abs-2303-11748;Database Technology Evolution.;Malcolm K. Crowe, Fritz Laux;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2303-11748;https://doi.org/10.48550/arXiv.2303.11748;;abs/2303.11748;;;;10.48550/ARXIV.2303.11748
N;journals/corr/abs-2305-08703;Schema-adaptable Knowledge Graph Construction.;Hongbin Ye, Honghao Gui, Xin Xu , Huajun Chen, Ningyu Zhang;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2305-08703;https://doi.org/10.48550/arXiv.2305.08703;;abs/2305.08703;;;;10.48550/ARXIV.2305.08703
N;journals/corr/abs-2306-04433;Cross-Database and Cross-Channel ECG Arrhythmia Heartbeat Classification Based on Unsupervised Domain Adaptation.;Md. Niaz Imtiaz, Naimul Khan;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2306-04433;https://doi.org/10.48550/arXiv.2306.04433;;abs/2306.04433;;;;10.48550/ARXIV.2306.04433
N;journals/corr/abs-2308-09313;Domain Adaptive Code Completion via Language Models and Decoupled Domain Databases.;Ze Tang , Jidong Ge, Shangqing Liu, Tingwei Zhu, Tongtong Xu, Liguo Huang, Bin Luo;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2308-09313;https://doi.org/10.48550/arXiv.2308.09313;;abs/2308.09313;;;;10.48550/ARXIV.2308.09313
N;journals/corr/abs-2309-11406;Live & Local Schema Change: Challenge Problems.;Jonathan Edwards, Tomas Petricek , Tijs van der Storm;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2309-11406;https://doi.org/10.48550/arXiv.2309.11406;;abs/2309.11406;;;;10.48550/ARXIV.2309.11406
N;journals/corr/abs-2311-07826;Adaptive Search Optimization: Dynamic Algorithm Selection and Caching for Enhanced Database Performance.;Hakikat Singh;2023;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2311-07826;https://doi.org/10.48550/arXiv.2311.07826;;abs/2311.07826;;;;10.48550/ARXIV.2311.07826
N;journals/corr/abs-2403-01599;SCHEMA: State CHangEs MAtter for Procedure Planning in Instructional Videos.;Yulei Niu, Wenliang Guo, Long Chen , Xudong Lin , Shih-Fu Chang;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2403-01599;https://doi.org/10.48550/arXiv.2403.01599;;abs/2403.01599;;;;10.48550/ARXIV.2403.01599
N;journals/corr/abs-2403-09588;Iterative Forgetting: Online Data Stream Regression Using Database-Inspired Adaptive Granulation.;Niket Kathiriya, Hossein Haeri, Cindy Chen, Kshitij Jerath;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2403-09588;https://doi.org/10.48550/arXiv.2403.09588;;abs/2403.09588;;;;10.48550/ARXIV.2403.09588
N;journals/corr/abs-2404-03929;SLSM : An Efficient Strategy for Lazy Schema Migration on Shared-Nothing Databases.;Zhilin Zeng, Hui Li, Xiyue Gao, Hui Zhang, Huiquan Zhang, Jiangtao Cui;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2404-03929;https://doi.org/10.48550/arXiv.2404.03929;;abs/2404.03929;;;;10.48550/ARXIV.2404.03929
N;journals/corr/abs-2405-18670;Adapting Differentially Private Synthetic Data to Relational Databases.;Kaveh Alimohammadi, Hao Wang, Ojas Gulati, Akash Srivastava, Navid Azizan;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2405-18670;https://doi.org/10.48550/arXiv.2405.18670;;abs/2405.18670;;;;10.48550/ARXIV.2405.18670
N;journals/corr/abs-2407-03631;On the performance of sequential Bayesian update for database of diverse tsunami scenarios.;Reika Nomura, Louise A. Hirao Vermare, Saneiki Fujita, Donsub Rim, Shuji Moriguchi, Randall J. LeVeque, Kenjiro Terada;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2407-03631;https://doi.org/10.48550/arXiv.2407.03631;;abs/2407.03631;;;;10.48550/ARXIV.2407.03631
N;journals/corr/abs-2407-05096;Database Technology Evolution III: Knowledge Graphs and Linked Data.;Malcolm K. Crowe, Fritz Laux;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2407-05096;https://doi.org/10.48550/arXiv.2407.05096;;abs/2407.05096;;;;10.48550/ARXIV.2407.05096
N;journals/corr/abs-2407-09885;Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.;Muriki G. Yamanaka, Diogo Henrique de Almeida, Paulo R. Lisboa de Almeida, Simone Dominico, Letícia M. Peres, Marcos Sfair Sunyé, Eduardo C. de Almeida;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2407-09885;https://doi.org/10.48550/arXiv.2407.09885;;abs/2407.09885;;;;10.48550/ARXIV.2407.09885
N;journals/corr/abs-2408-12414;BIPeC: A Combined Change-Point Analyzer to Identify Performance Regressions in Large-scale Database Systems.;Zhan Lyu, Thomas Bach , Yong Li, Minh Le Nguyen, Lars Hömke;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2408-12414;https://doi.org/10.48550/arXiv.2408.12414;;abs/2408.12414;;;;10.48550/ARXIV.2408.12414
N;journals/corr/abs-2410-03867;Empowering Domain-Specific Language Models with Graph-Oriented Databases: A Paradigm Shift in Performance and Model Maintenance.;Ricardo Di Pasquale, Soledad Represa;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2410-03867;https://doi.org/10.48550/arXiv.2410.03867;;abs/2410.03867;;;;10.48550/ARXIV.2410.03867
N;journals/corr/abs-2411-00150;Schema Augmentation for Zero-Shot Domain Adaptation in Dialogue State Tracking.;Christopher Richardson, Roshan Sharma, Neeraj Gaur, Parisa Haghani, Anirudh Sundar, Bhuvana Ramabhadran;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2411-00150;https://doi.org/10.48550/arXiv.2411.00150;;abs/2411.00150;;;;10.48550/ARXIV.2411.00150
N;journals/corr/abs-2411-06322;Adaptive Body Schema Learning System Considering Additional Muscles for Musculoskeletal Humanoids.;Kento Kawaharazuka, Akihiro Miki, Yasunori Toshimitsu, Kei Okada, Masayuki Inaba;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2411-06322;https://doi.org/10.48550/arXiv.2411.06322;;abs/2411.06322;;;;10.48550/ARXIV.2411.06322
N;journals/corr/abs-2412-06269;Schema Evolution in Interactive Programming Systems.;Jonathan Edwards, Tomas Petricek , Tijs van der Storm, Geoffrey Litt;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2412-06269;https://doi.org/10.48550/arXiv.2412.06269;;abs/2412.06269;;;;10.48550/ARXIV.2412.06269
N;journals/corr/abs-2412-12961;Adaptations of AI models for querying the LandMatrix database in natural language.;Fatiha Ait Kbir, Jérémy Bourgoin, Rémy Decoupes, Marie Gradeler, Roberto Interdonato;2024;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2412-12961;https://doi.org/10.48550/arXiv.2412.12961;;abs/2412.12961;;;;10.48550/ARXIV.2412.12961
N;journals/corr/abs-2503-17685;Revisiting Page Migration for Main-Memory Database Systems.;Yeasir Rayhan, Walid G. Aref;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2503-17685;https://doi.org/10.48550/arXiv.2503.17685;;abs/2503.17685;;;;10.48550/ARXIV.2503.17685
N;journals/corr/abs-2507-09225;MetaClimage: A novel database of visual metaphors related to Climate Change, with costs and benefits analysis.;Biagio Scalingi, Chiara Barattieri di San Pietro, Paolo Canal, Valentina Bambini;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2507-09225;https://doi.org/10.48550/arXiv.2507.09225;;abs/2507.09225;;;;10.48550/ARXIV.2507.09225
N;journals/corr/abs-2507-22943;A chart review process aided by natural language processing and multi-wave adaptive sampling to expedite validation of code-based algorithms for large database studies.;Shirley V. Wang, Georg Hahn, Sushama Kattinakere Sreedhara, Mufaddal Mahesri, Haritha S. Pillai, Rajendra Aldis, Joyce Lii, Sarah K. Dutcher, Rhoda Eniafe, Jamal T. Jones, Keewan Kim, Jiwei He, Hana Lee, Sengwee Toh, Rishi J. Desai, Jie Yang;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2507-22943;https://doi.org/10.48550/arXiv.2507.22943;;abs/2507.22943;;;;10.48550/ARXIV.2507.22943
N;journals/corr/abs-2508-01136;DBAIOps: A Reasoning LLM-Enhanced Database Operation and Maintenance System using Knowledge Graphs.;Wei Zhou , Peng Sun , Xuanhe Zhou, Qianglei Zang, Ji Xu, Tieying Zhang, Guoliang Li , Fan Wu;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2508-01136;https://doi.org/10.48550/arXiv.2508.01136;;abs/2508.01136;;;;10.48550/ARXIV.2508.01136
N;journals/corr/abs-2509-00088;AEGIS : Automated Co-Evolutionary Framework for Guarding Prompt Injections Schema.;Ting-Chun Liu, Ching Yu Hsu, Kuan-Yi Lee, Chi-An Fu, Hung-yi Lee;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2509-00088;https://doi.org/10.48550/arXiv.2509.00088;;abs/2509.00088;;;;10.48550/ARXIV.2509.00088
N;journals/corr/abs-2509-23471;Drift-Adapter: A Practical Approach to Near Zero-Downtime Embedding Model Upgrades in Vector Databases.;Harshil Vejendla;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2509-23471;https://doi.org/10.48550/arXiv.2509.23471;;abs/2509.23471;;;;10.48550/ARXIV.2509.23471
N;journals/corr/abs-2509-25285;ActorDB: A Unified Database Model Integrating Single-Writer Actors, Incremental View Maintenance, and Zero-Trust Messaging.;Jun Kawasaki;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2509-25285;https://doi.org/10.48550/arXiv.2509.25285;;abs/2509.25285;;;;10.48550/ARXIV.2509.25285
N;journals/corr/abs-2510-07248;Don't Adapt Small Language Models for Tools -- Adapt Tool Schemas to the Models.;Jonggeun Lee, Woojung Song, Jongwook Han, Haesung Pyun, Yohan Jo;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2510-07248;https://doi.org/10.48550/arXiv.2510.07248;;abs/2510.07248;;;;10.48550/ARXIV.2510.07248
N;journals/corr/abs-2510-17748;This is Going to Sound Crazy, But What If We Used Large Language Models to Boost Automatic Database Tuning Algorithms By Leveraging Prior History? We Will Find Better Configurations More Quickly Than Retraining From Scratch!;William Zhang , Wan Shen Lim, Andrew Pavlo;2025;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/abs-2510-17748;https://doi.org/10.48550/arXiv.2510.17748;;abs/2510.17748;;;;10.48550/ARXIV.2510.17748
N;journals/corr/AdeodatoPN17;Optimal Categorical Attribute Transformation for Granularity Change in Relational Databases for Binary Decision Problems in Educational Data Mining.;Paulo J. L. Adeodato, Fábio C. Pereira, Rosalvo F. Oliveira Neto;2017;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/AdeodatoPN17;http://arxiv.org/abs/1702.08745;;abs/1702.08745;;;;
Y;journals/corr/AmaviCAR14;A ToolBox for Conservative XML Schema Evolution and Document Adaptation.;Joshua Amavi, Jacques Chabin, Mirian Halfeld Ferrari Alves, Pierre Réty;2014;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/AmaviCAR14;http://arxiv.org/abs/1406.1423;;abs/1406.1423;;;;
N;journals/corr/BerkholzKS17a;Answering FO+MOD queries under updates on bounded degree databases.;Christoph Berkholz, Jens Keppeler, Nicole Schweikardt;2017;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/BerkholzKS17a;http://arxiv.org/abs/1702.08764;;abs/1702.08764;;;;
N;journals/corr/BertossiS14;Unifying Causality, Diagnosis, Repairs and View-Updates in Databases.;Leopoldo E. Bertossi, Babak Salimi;2014;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/BertossiS14;http://arxiv.org/abs/1405.4228;;abs/1405.4228;;;;
N;journals/corr/BertossiS16;Causes for Query Answers from Databases: Datalog Abduction, View-Updates, and Integrity Constraints.;Leopoldo E. Bertossi, Babak Salimi;2016;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/BertossiS16;http://arxiv.org/abs/1611.01711;;abs/1611.01711;;;;
N;journals/corr/Delhibabu15;Dynamics of Belief: Abduction, Horn Knowledge Base And Database Updates.;Radhakrishnan Delhibabu;2015;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/Delhibabu15;http://arxiv.org/abs/1501.06206;;abs/1501.06206;;;;
N;journals/corr/LuoCN14;Adaptive Image Denoising by Targeted Databases.;Enming Luo, Stanley H. Chan, Truong Q. Nguyen;2014;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/LuoCN14;http://arxiv.org/abs/1407.5055;;abs/1407.5055;;;;
N;journals/corr/LupeiKT14;Incremental View Maintenance for Nested-Relational Databases.;Daniel Lupei, Christoph Koch , Val Tannen;2014;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/LupeiKT14;http://arxiv.org/abs/1412.4320;;abs/1412.4320;;;;
N;journals/corr/MiranskyyAGB17;Database Engines: Evolution of Greenness.;Andriy V. Miranskyy, Zainab Al-zanbouri, David Godwin, Ayse Basar Bener;2017;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/MiranskyyAGB17;http://arxiv.org/abs/1701.02344;;abs/1701.02344;;;;
N;journals/corr/Pieris13;Modifying the Entity relationship modelling notation: towards high quality relational databases from better notated ER models.;Dhammika Pieris;2013;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/Pieris13;http://arxiv.org/abs/1306.5690;;abs/1306.5690;;;;
N;journals/corr/RadkarP15;Mining high on-shelf utility itemsets with negative values from dynamic updated database.;Anjali N. Radkar, Soudamini Pawar Somvanshi;2015;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/RadkarP15;http://arxiv.org/abs/1507.01759;;abs/1507.01759;;;;
N;journals/corr/SalimiB16;Causes for Query Answers from Databases, Datalog Abduction and View-Updates: The Presence of Integrity Constraints.;Babak Salimi, Leopoldo E. Bertossi;2016;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/SalimiB16;http://arxiv.org/abs/1602.06458;;abs/1602.06458;;;;
Y;journals/corr/ScherzingerKS13;Managing Schema Evolution in NoSQL Data Stores.;Stefanie Scherzinger, Meike Klettke, Uta Störl;2013;DBPL;Conference and Workshop Papers;https://dblp.org/rec/journals/corr/ScherzingerKS13;http://arxiv.org/abs/1308.0514;;;;;;
N;journals/corr/Virkkunen16;A New Communication Theory on Complex Information and a Groundbreaking New Declarative Method to Update Object Databases.;Heikki Virkkunen;2016;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/Virkkunen16;http://arxiv.org/abs/1604.02377;;abs/1604.02377;;;;
N;journals/corr/YaoA0OW15;Adaptive Logging for Distributed In-memory Databases.;Chang Yao , Divyakant Agrawal, Gang Chen , Beng Chin Ooi, Sai Wu;2015;CoRR;Informal and Other Publications;https://dblp.org/rec/journals/corr/YaoA0OW15;http://arxiv.org/abs/1503.03653;;abs/1503.03653;;;;
