key;Source;DataModel;DataModel description;Method;Method description;Topic;Topic description;EID;title;authors;year;venue;type;link;volume;number;doi
journals/is/VassiliadisZS17;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-84983028444;Gravitating to rigidity: Patterns of schema evolution - and its absence - in the lives of tables.;Panos Vassiliadis, Apostolos V. Zarras, Ioannis Skoulis;2017;Inf. Syst.;Journal Articles;https://doi.org/10.1016/j.is.2016.06.010;63;;10.1016/J.IS.2016.06.010
journals/is/ZhaoL13;JOIN;309;309: Other;421, 431;"421: Algorithm (fully automated)
431: Tool";677;677: Schema version management techniques;2-s2.0-84878253052;Version management for business process schema evolution.;Xiaohui Zhao , Chengfei Liu;2013;Inf. Syst.;Journal Articles;https://doi.org/10.1016/j.is.2013.03.006;38;8;10.1016/J.IS.2013.03.006
journals/isf/HerrmannVRBL18;JOIN;302;302: Relational;411, 413;"411: Algebra
413: Language";611, 612;"611: SMOs/Languages/Rigorous Models for schema evolution
612: SMO composition";2-s2.0-85010756258;Robust and simple database evolution.;Kai Herrmann , Hannes Voigt, Jonas Rausch, Andreas Behrend, Wolfgang Lehner;2018;Inf. Syst. Frontiers;Journal Articles;https://doi.org/10.1007/s10796-016-9730-2;20;1;10.1007/S10796-016-9730-2
journals/isse/MarksS13;JOIN;302;302: Relational;422, 431;"422: Method (not fully automated)
431: Tool";642;642: Cross vendor data migration;2-s2.0-84881548251;A metadata driven approach to performing complex heterogeneous database schema migrations.;Robert M. Marks, Roy Sterritt;2013;Innov. Syst. Softw. Eng.;Journal Articles;https://doi.org/10.1007/s11334-013-0217-8;9;3;10.1007/S11334-013-0217-8
journals/jd/LiS18;JOIN;303;303: XML;401;401: General Framework;647;647: Storing provenance information for data migration;2-s2.0-85035201702;Provenance description of metadata application profiles for long-term maintenance of metadata schemas.;Chunqiu Li, Shigeo Sugimoto;2018;J. Documentation;Journal Articles;https://doi.org/10.1108/JD-03-2017-0042;74;1;10.1108/JD-03-2017-0042
journals/jdm/LiuTC13a;JOIN;302;302: Relational;422, 431;"422: Method (not fully automated)
431: Tool";622;622: Impact to external source code when the logical schema changes;2-s2.0-84887481105;Aiding Maintenance of Database Applications Through Extracting Attribute Dependency Graph.;Kaiping Liu, Hee Beng Kuan Tan, Xu Chen;2013;J. Database Manag.;Journal Articles;https://doi.org/10.4018/jdm.2013010102;24;1;10.4018/JDM.2013010102
journals/jdwm/AhmedZVW21;JOIN;302;302: Relational;411;411: Algebra;677, 611, 678;"677: Schema version management techniques
611: SMOs/Languages/Rigorous Models for schema evolution
678: Handling of schema mappings among any two schemata";2-s2.0-85117043359;Schema Evolution in Multiversion Data Warehouses.;Waqas Ahmed , Esteban Zimányi, Alejandro A. Vaisman, Robert Wrembel;2021;Int. J. Data Warehous. Min.;Journal Articles;https://doi.org/10.4018/ijdwm.2021100101;17;4;10.4018/IJDWM.2021100101
journals/jodsn/VassiliadisZ17;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85034660907;"Schema Evolution Survival Guide for Tables: Avoid Rigid Childhood and You&apos;re En Route to a Quiet Life.";Panos Vassiliadis, Apostolos V. Zarras;2017;J. Data Semant.;Journal Articles;https://doi.org/10.1007/s13740-017-0083-x;6;4;10.1007/S13740-017-0083-X
journals/jss/OvereemSJB21;JOIN;309;309: Other;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-85104285415;An empirical characterization of event sourced systems and their schema evolution - Lessons from industry.;Michiel Overeem, Marten Spoor, Slinger Jansen, Sjaak Brinkkemper;2021;J. Syst. Softw.;Journal Articles;https://doi.org/10.1016/j.jss.2021.110970;178;;10.1016/J.JSS.2021.110970
journals/jss/RamosVidalACLPP25;JOIN;302;302: Relational;422, 431;"422: Method (not fully automated)
431: Tool";631;631: Guaranteeing the correctness/validity of schema and application code coevolution;2-s2.0-85211229375;SPL-DB-Sync: Seamless database transformation during feature-driven changes.;Delfina Ramos-Vidal, Wesley K. G. Assunção, Alejandro Cortiñas , Miguel R. Luaces, Oscar Pedreira, Ángeles Saavedra Places;2025;J. Syst. Softw.;Journal Articles;https://doi.org/10.1016/j.jss.2024.112285;222;;10.1016/J.JSS.2024.112285
journals/jss/SuarezOteroMCT23;JOIN;301, 305;"301: Conceptual (ER/UML/Other)
305: NoSQL (Graph/ JSON/Key-Value/Other)";431, 421;"431: Tool
421: Algorithm (fully automated)";678, 632;"678: Handling of schema mappings among any two schemata
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-85160005806;CoDEvo: Column family database evolution using model transformations.;Pablo Suárez-Otero, Michael J. Mior, María José Suárez-Cabal, Javier Tuya;2023;J. Syst. Softw.;Journal Articles;https://doi.org/10.1016/j.jss.2023.111743;203;;10.1016/J.JSS.2023.111743
journals/programming/EdwardsPSL24;JOIN;307;307: Model-Independent;401;401: General Framework;680, 631;"680: General observations/concepts/guidelines around schema evolution
631: Guaranteeing the correctness/validity of schema and application code coevolution";2-s2.0-85212498950;Schema Evolution in Interactive Programming Systems.;Jonathan Edwards, Tomas Petricek , Tijs van der Storm, Geoffrey Litt;2024;Art Sci. Eng. Program.;Journal Articles;https://doi.org/10.22152/programming-journal.org/2025/9/2;9;1;10.22152/PROGRAMMING-JOURNAL.ORG/2025/9/2
journals/pvldb/AntonopoulosCDJKKKOPRST25;JOIN;302;302: Relational;432;432: DBMS internal mechanism;677, 635;"677: Schema version management techniques
635: Guaranteeing the zerodowntime of the evolution of a working system";2-s2.0-105016541198;MD-MVCC: Multi-version Concurrency Control for Schema Changes in Azure SQL Database.;Panagiotis Antonopoulos, Mansi Chauhan, Shailender Dabas, Rajat Jain, Darshan Kattera, Wonseok Kim, Hanuma Kodavalla, Nikolas Ogg, Prashanth Purnananda, Rahul Ranjan, Alex Swanson, Divyesh Tikmani;2025;Proc. VLDB Endow.;Journal Articles;https://www.vldb.org/pvldb/vol18/p4791-antonopoulos.pdf;18;12;
journals/pvldb/Hu0Z22;JOIN;302;302: Relational;432, 421;"432: DBMS internal mechanism
421: Algorithm (fully automated)";677, 635;"677: Schema version management techniques
635: Guaranteeing the zerodowntime of the evolution of a working system";2-s2.0-85143426554;Online Schema Evolution is (almost) Free for Snapshot Databases.;Tianxun Hu, Tianzheng Wang , Qingqing Zhou;2022;Proc. VLDB Endow.;Journal Articles;https://www.vldb.org/pvldb/vol16/p140-hu.pdf;16;2;10.14778/3565816.3565818
journals/pvldb/RaeRSSV13;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);432, 412;"432: DBMS internal mechanism
412: Theoretical Proof";677, 635, 634;"677: Schema version management techniques
635: Guaranteeing the zerodowntime of the evolution of a working system
634: Guaranteeing the correctness/validity of schema constraints during evolution";2-s2.0-84891043875;Online, Asynchronous Schema Change in F1.;Ian Rae, Eric Rollins, Jeff Shute, Sukhdeep S. Sodhi, Radek Vingralek;2013;Proc. VLDB Endow.;Journal Articles;http://www.vldb.org/pvldb/vol6/p1045-rae.pdf;6;11;10.14778/2536222.2536230
journals/pvldb/ZhangQSTGSL25;JOIN;302;302: Relational;403, 402;"403: Benchmark
402: Empirical Study";623;623: Impact to external services when the logical schema changes;2-s2.0-105021397911;EVOSCHEMA: TOWARDS TEXT-TO-SQL ROBUSTNESS AGAINST SCHEMA EVOLUTION.;Tianshu Zhang , Kun Qian , Siddhartha Sahai, Yuan Tian, Shaddy Garg, Huan Sun , Yunyao Li;2025;Proc. VLDB Endow.;Journal Articles;https://www.vldb.org/pvldb/vol18/p3655-zhang.pdf;18;10;
journals/scp/CleveGMMW15;JOIN;302;302: Relational;402;402: Empirical Study;650;650: Understanding how schemata evolve;2-s2.0-84910118991;Understanding database schema evolution: A case study.;Anthony Cleve, Maxime Gobert , Loup Meurice, Jerome Maes, Jens H. Weber;2015;Sci. Comput. Program.;Journal Articles;https://doi.org/10.1016/j.scico.2013.11.025;97;;10.1016/J.SCICO.2013.11.025
journals/sncs/AkazawaMS22;JOIN;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421, 411;"421: Algorithm (fully automated)
411: Algebra";633;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;2-s2.0-85129703354;An Algorithm for Transforming Property Path Query Based on Shape Expression Schema Update.;Goki Akazawa, Naoto Matsubara, Nobutaka Suzuki;2022;SN Comput. Sci.;Journal Articles;https://doi.org/10.1007/s42979-022-01086-0;3;3;10.1007/S42979-022-01086-0
journals/sosym/MilovanovicM15;JOIN;301, 302;"301: Conceptual (ER/UML/Other)
302: Relational";431, 422;"431: Tool
422: Method (not fully automated)";672, 678, 632;"672: Computing the diff of two schemata
678: Handling of schema mappings among any two schemata
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";2-s2.0-84940960925;An interactive tool for UML class model evolution in database applications.;Vukasin Milovanovic, Dragan Milicev;2015;Softw. Syst. Model.;Journal Articles;https://doi.org/10.1007/s10270-013-0378-9;14;3;10.1007/S10270-013-0378-9
journals/spe/PereiraPO17;JOIN;304;304: Object Oriented DBs;431;431: Tool;631;631: Guaranteeing the correctness/validity of schema and application code coevolution;2-s2.0-84973664231;Modularizing application and database evolution - an aspect-oriented framework for orthogonal persistence.;Rui Humberto R. Pereira, J. Baltasar García Pérez-Schofield, Francisco Ortin;2017;Softw. Pract. Exp.;Journal Articles;https://doi.org/10.1002/spe.2415;47;2;10.1002/SPE.2415
journals/tkde/ChillonKRM24;JOIN;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";411, 413, 431;"411: Algebra
413: Language
431: Tool";611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85184819638;A Generic Schema Evolution Approach for NoSQL and Relational Databases.;Alberto Hernández Chillón, Meike Klettke, Diego Sevilla Ruiz, Jesús García Molina;2024;IEEE Trans. Knowl. Data Eng.;Journal Articles;https://doi.org/10.1109/TKDE.2024.3362273;36;7;10.1109/TKDE.2024.3362273
journals/toit/GenevesLQ11;JOIN;303;303: XML;422, 431, 411;"422: Method (not fully automated)
431: Tool
411: Algebra";621;621: Impact to peripheral constructs when the core schema changes;2-s2.0-80051945758;Impact of XML Schema Evolution.;Pierre Genevès, Nabil Layaïda, Vincent Quint;2011;ACM Trans. Internet Techn.;Journal Articles;https://doi.org/10.1145/1993083.1993087;11;1;10.1145/1993083.1993087
journals/tosem/PerezRZ25;JOIN;302;302: Relational;422, 431;"422: Method (not fully automated)
431: Tool";647;647: Storing provenance information for data migration;2-s2.0-86000540022;PROV-IDEA: Supporting Interoperable Schema and Data Provenance within Database Evolution.;Beatriz Pérez , Ángel Luis Rubio, María A. Zapata;2025;ACM Trans. Softw. Eng. Methodol.;Journal Articles;https://doi.org/10.1145/3697008;34;3;10.1145/3697008
journals/tse/PiccioniOM13;JOIN;304;304: Object Oriented DBs;411, 421, 402, 431;"411: Algebra
421: Algorithm (fully automated)
402: Empirical Study
431: Tool";611, 650;"611: SMOs/Languages/Rigorous Models for schema evolution
650: Understanding how schemata evolve";2-s2.0-84873323832;Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support.;Marco Piccioni, Manuel Oriol, Bertrand Meyer;2013;IEEE Trans. Software Eng.;Journal Articles;https://doi.org/10.1109/TSE.2011.123;39;2;10.1109/TSE.2011.123
journals/tweb/BleifussBNS25;JOIN;309;309: Other;421;421: Algorithm (fully automated);662;662: Recommendations for specific, focused schema changes;2-s2.0-105018576205;Schema Change Recommendation for User-Curated Webtables Using Temporal Data.;Tobias Bleifuß, Leon Bornemann, Felix Naumann, Divesh Srivastava;2025;ACM Trans. Web;Journal Articles;https://doi.org/10.1145/3742920;19;3;10.1145/3742920
journals/vldb/CurinoMDZ13;JOIN;302;302: Relational;431, 411, 413, 421, 412;"431: Tool
411: Algebra
413: Language
421: Algorithm (fully automated)
412: Theoretical Proof";646, 633, 634, 611;"646: Data migration virtually via query/view rewriting
633: Guaranteeing the correctness/validity of peripheral constructs during evolution
634: Guaranteeing the correctness/validity of schema constraints during evolution
611: SMOs/Languages/Rigorous Models for schema evolution";2-s2.0-84872670627;Automating the database schema evolution process.;Carlo Curino, Hyun Jin Moon, Alin Deutsch, Carlo Zaniolo;2013;VLDB J.;Journal Articles;https://doi.org/10.1007/s00778-012-0302-x;22;1;10.1007/S00778-012-0302-X
2-s2.0-105018462172;SCOPUS;307;307: Model-Independent;421;421: Algorithm (fully automated);635;635: Guaranteeing the zerodowntime of the evolution of a working system;2-s2.0-105018462172;Zero-Downtime Schema Evolution in Distributed Databases: A Theoretical Framework;Hazarika A.V., Banerjee M.;2025;2025 IEEE International Conference on Computer, Electronics, Electrical Engineering and their Applications, IC2E3 2025;Conference paper;https://www.scopus.com/pages/publications/105018462172?origin=resultslist;;;10.1109/IC2E365635.2025.11167401
2-s2.0-105022936825;SCOPUS;309;309: Other;422;422: Method (not fully automated);662;662: Recommendations for specific, focused schema changes;2-s2.0-105022936825;DEVELOPMENT OF A RULE-BASED LLM PROMPTING METHOD FOR HIGH-ACCURACY EVENT-SCHEMA EVOLUTION;Malyi R., Serdyuk P.;2025;Technology Audit and Production Reserves;Article;https://www.scopus.com/pages/publications/105022936825?origin=resultslist;5;2;10.15587/2706-5448.2025.342365
2-s2.0-105026657119;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);644,661;"644: Efficiently performing eager data migration
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";2-s2.0-105026657119;AI-Assisted Schema Translation and Verified Migration: From Object-Relational Models to NoSQL Document-Oriented Stores;Toufik F., Aouragh A.A., Khalil A.;2025;International Journal of Advanced Computer Science and Applications;Article;https://www.scopus.com/pages/publications/105026657119?origin=resultslist;16;11;10.14569/IJACSA.2025.0161194
2-s2.0-105030447085;SCOPUS;305;305: NoSQL (Graph/ JSON/Key-Value/Other);422;422: Method (not fully automated);662;662: Recommendations for specific, focused schema changes;2-s2.0-105030447085;Reinforcement Learning for Dynamic RDF Schema Evolution in NoSQL Databases;Belefqih S., Barchane M., Zellou A., Doumi K., Benlahmar E.;2025;SITA 2025 - 15th International Conference on Intelligent Systems: Theories and Applications;Conference paper;https://www.scopus.com/pages/publications/105030447085?origin=resultslist;;;10.1109/SITA67914.2025.11273715
2-s2.0-105031555192;SCOPUS;302;302: Relational;422;422: Method (not fully automated);642;642: Cross vendor data migration;2-s2.0-105031555192;AI in Database Modernization: Streamlining On-Prem to Babelfish Aurora PostgreSQL Migrations;Mohanty M.R., Rao S.K., Agrawal S.K., Zakhmi K., Melath V., Kasralikar P.;2025;2025 International Conference on Sustainability, Innovation and Technology, ICSIT 2025;Conference paper;https://www.scopus.com/pages/publications/105031555192?origin=resultslist;;;10.1109/ICSIT65336.2025.11295140
2-s2.0-105032726317;SCOPUS;309;309: Other;422;422: Method (not fully automated);662;662: Recommendations for specific, focused schema changes;2-s2.0-105032726317;Large Language Models for Schema Evolution in Event-Sourced Systems;Malyi R., Serdyuk P.;2025;Proceedings of the IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS;Conference paper;https://www.scopus.com/pages/publications/105032726317?origin=resultslist;;;10.1109/IDAACS68557.2025.11321978
2-s2.0-105035352174;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";421,431;"421: Algorithm (fully automated)
431: Tool";644;644: Efficiently performing eager data migration;2-s2.0-105035352174;Development of Migration Tool from Relational Database to Document - Oriented NoSQL Database Utilizing Relational Database Logs;Santoso F.B.L.A., Hartono L.V.T.;2025;2025 International Conference on ICT for Smart Society, ICISS 2025;Conference paper;https://www.scopus.com/pages/publications/105035352174?origin=resultslist;;;10.1109/ICISS66954.2025.11389604
2-s2.0-84861842424;SCOPUS;302;302: Relational;422;422: Method (not fully automated);646;646: Data migration virtually via query/view rewriting;2-s2.0-84861842424;Data storage schema upgrade via metadata evolution in SaaS;Liu H., Wu S.;2012;2012 2nd International Conference on Consumer Electronics, Communications and Networks, CECNet 2012 - Proceedings;Conference paper;https://www.scopus.com/pages/publications/84861842424?origin=resultslist;;;10.1109/CECNet.2012.6201658
2-s2.0-84869035081;SCOPUS;304;304: Object Oriented DBs;431;431: Tool;677;677: Schema version management techniques;2-s2.0-84869035081;Database evolution on an orthogonal persistent programming system: A semi-transparent approach;Pereira R.H.R., Perez-Schofield J.B.G.;2012;Iberian Conference on Information Systems and Technologies, CISTI;Conference paper;https://www.scopus.com/pages/publications/84869035081?origin=resultslist;;;
2-s2.0-84876314550;SCOPUS;302;302: Relational;421;421: Algorithm (fully automated);635, 661;"635: Guaranteeing the zerodowntime of the evolution of a working system
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";2-s2.0-84876314550;Enabling migration of enterprise applications in SaaS via progressive schema evolution;Yan J., Zhang B.;2011;Lecture Notes in Business Information Processing;Conference paper;https://www.scopus.com/pages/publications/84876314550?origin=resultslist;74 LNBIP;;10.1007/978-3-642-19294-4_10
2-s2.0-84890886044;SCOPUS;302, 308;"302: Relational
308: ORM";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-84890886044;The migration of data from a Relational Database (RDB) to an Object Relational (ORDB) Database;Bahaj M., El Alami A.;2013;Journal of Theoretical and Applied Information Technology;Article;https://www.scopus.com/pages/publications/84890886044?origin=resultslist;58;2;
2-s2.0-84904489076;SCOPUS;302;302: Relational;431;431: Tool;622,631;"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";2-s2.0-84904489076;A tool for test case impact analysis of database schema changes using use cases;Jainae J., Suwannasart T.;2014;ICISA 2014 - 2014 5th International Conference on Information Science and Applications;Conference paper;https://www.scopus.com/pages/publications/84904489076?origin=resultslist;;;10.1109/ICISA.2014.6847346
2-s2.0-84946690059;SCOPUS;302;302: Relational;401;401: General Framework;678;678: Handling of schema mappings among any two schemata;2-s2.0-84946690059;A taxonomy of changes in schema evolution;Masood N., Andleeb N.;2014;2014 International Conference on Computational Science and Technology, ICCST 2014;Conference paper;https://www.scopus.com/pages/publications/84946690059?origin=resultslist;;;10.1109/ICCST.2014.7045196
2-s2.0-84971378898;SCOPUS;302,304;"302: Relational
304: Object Oriented DBs";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-84971378898;Migration of a relational database RDB to an object oriented database OODB;El Alami A., Bahaj M., Cherti I.;2016;Journal of Theoretical and Applied Information Technology;Article;https://www.scopus.com/pages/publications/84971378898?origin=resultslist;87;3;
2-s2.0-85042182832;SCOPUS;302;302: Relational;422;422: Method (not fully automated);661, 677;"661: Method/guidelines/hints on how to evolve a schema as a sequence of steps
677: Schema version management techniques";2-s2.0-85042182832;Version control on database schema and test cases from functional requirements⇔ input changes;Kiatphao P., Suwannasart T.;2017;Lecture Notes in Engineering and Computer Science;Conference paper;https://www.scopus.com/pages/publications/85042182832?origin=resultslist;2227;;
2-s2.0-85048004679;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85048004679;Migration of data from relational database to graph database;Unal Y., Oguztuzun H.;2018;ACM International Conference Proceeding Series;Conference paper;https://www.scopus.com/pages/publications/85048004679?origin=resultslist;;;10.1145/3200842.3200852
2-s2.0-85055729362;SCOPUS;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85055729362;A new approach for migration of a relational database into column-oriented nosql database on hadoop;Khourdifi Y., Bahaj M., Elalami A.;2018;Journal of Theoretical and Applied Information Technology;Article;https://www.scopus.com/pages/publications/85055729362?origin=resultslist;96;19;
2-s2.0-85060098090;SCOPUS;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421;421: Algorithm (fully automated);644,661;"644: Efficiently performing eager data migration
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";2-s2.0-85060098090;A Framework for Data Migration between Different Datastore of NoSQL Database;Wijaya Y.S., Akhmadarman A.;2018;Proceeding - 2018 International Conference on ICT for Smart Society: Innovation Toward Smart Society and Society 5.0, ICISS 2018;Conference paper;https://www.scopus.com/pages/publications/85060098090?origin=resultslist;;;10.1109/ICTSS.2018.8549944
2-s2.0-85069445080;SCOPUS;305;305: NoSQL (Graph/ JSON/Key-Value/Other);421;421: Algorithm (fully automated);611, 677;"611: SMOs/Languages/Rigorous Models for schema evolution
677: Schema version management techniques";2-s2.0-85069445080;Implicit JSON Schema Versioning Driven by Big Data Evolution in the τJSchema Framework;Brahmia Z., Brahmia S., Grandi F., Bouaziz R.;2020;Lecture Notes in Networks and Systems;Book chapter;https://www.scopus.com/pages/publications/85069445080?origin=resultslist;81;;10.1007/978-3-030-23672-4_3
2-s2.0-85078264134;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";401;401: General Framework;662;662: Recommendations for specific, focused schema changes;2-s2.0-85078264134;Performance analysis of schema design approaches for migration from RDBMS to NOSQL databases;Namdeo B., Suman U.;2020;Lecture Notes in Networks and Systems;Book chapter;https://www.scopus.com/pages/publications/85078264134?origin=resultslist;94;;10.1007/978-981-15-0694-9_39
2-s2.0-85091790781;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";421;421: Algorithm (fully automated);662;662: Recommendations for specific, focused schema changes;2-s2.0-85091790781;Schema design advisor model for RDBMS to NoSQL database migration;Namdeo B., Suman U.;2021;International Journal of Information Technology (Singapore);Article;https://www.scopus.com/pages/publications/85091790781?origin=resultslist;13;1;10.1007/s41870-020-00515-8
2-s2.0-85103461245;SCOPUS;305;305: NoSQL (Graph/ JSON/Key-Value/Other);411;411: Algebra;611;611: SMOs/Languages/Rigorous Models for schema evolution;2-s2.0-85103461245;Implementation of High-Level JSON Schema Change Operations Using JUpdate;Brahmia Z., Brahmia S., Grandi F., Bouaziz R.;2021;Smart Innovation, Systems and Technologies;Conference paper;https://www.scopus.com/pages/publications/85103461245?origin=resultslist;205;;10.1007/978-981-33-4183-8_21
2-s2.0-85104614223;SCOPUS;307;307: Model-Independent;422;422: Method (not fully automated);644;644: Efficiently performing eager data migration;2-s2.0-85104614223;A regression-based hybrid machine learning technique to enhance the database migration in cloud environment;Kumar A., Sivak Kumar M., Namdeo V.;2021;Proceedings - IEEE 2021 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2021;Conference paper;https://www.scopus.com/pages/publications/85104614223?origin=resultslist;;;10.1109/ICCCIS51004.2021.9397123
2-s2.0-85108029163;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);643;643: Efficiently performing lazy data migration;2-s2.0-85108029163;A Model for Relational to NoSQL database Migration: Snapshot-Live Stream Db Migration Model;Namdeo B., Suman U.;2021;2021 7th International Conference on Advanced Computing and Communication Systems, ICACCS 2021;Conference paper;https://www.scopus.com/pages/publications/85108029163?origin=resultslist;;;10.1109/ICACCS51430.2021.9441829
2-s2.0-85123207789;SCOPUS;302;302: Relational;422;422: Method (not fully automated);644;644: Efficiently performing eager data migration;2-s2.0-85123207789;A Migration System of Database for Virtual Machine in Cloud Computing;Hsieh C.-H., Li Y., Ni B., Zhang Q., Wang R., Sun G., Wang H., Xu Y.;2021;2021 4th International Conference on Information Communication and Signal Processing, ICICSP 2021;Conference paper;https://www.scopus.com/pages/publications/85123207789?origin=resultslist;;;10.1109/ICICSP54369.2021.9611882
2-s2.0-85123894173;SCOPUS;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85123894173;Toward a Smart Approach of Migration from Relational Database System to NoSQL System: Analyzing and Modeling;Erraji A., Maizate A., Ozzif M.;2022;Lecture Notes on Data Engineering and Communications Technologies;Book chapter;https://www.scopus.com/pages/publications/85123894173?origin=resultslist;110;;10.1007/978-3-030-94188-8_20
2-s2.0-85124493780;SCOPUS;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";499;499: Other;680;680: General observations/concepts/guidelines around schema evolution;2-s2.0-85124493780;MULTI-CRITERIA ANALYSIS BETWEEN NOSQL DATABASES CATEGORIES TOWARD A COMPLETE MIGRATION FROM RELATIONAL DATABASE;Erraji A., Maizate A., Ouzzif M.;2022;Journal of Theoretical and Applied Information Technology;Article;https://www.scopus.com/pages/publications/85124493780?origin=resultslist;100;1;
2-s2.0-85125656416;SCOPUS;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85125656416;Designing a Framework for Data Migration of Odoo ERP PostgreSQL Database into NoSQL Database;Shah K., Bhavsar H.;2020;New Trends in Computational Vision and Bio-Inspired Computing - Selected Works Presented at the ICCVBIC 2018;Conference paper;https://www.scopus.com/pages/publications/85125656416?origin=resultslist;;;10.1007/978-3-030-41862-5_47
2-s2.0-85126342434;SCOPUS;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85126342434;A New Algorithm for Data Migration from a Relational to a NoSQL Oriented Column Database;Dourhri A., Hanine M., Ouahmane H.;2022;Lecture Notes in Networks and Systems;Conference paper;https://www.scopus.com/pages/publications/85126342434?origin=resultslist;393;;10.1007/978-3-030-94191-8_64
2-s2.0-85126384176;SCOPUS;302, 305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85126384176;Toward a Smart Approach of Migration from Relational System DataBase to NoSQL System: Transformation Rules of Structure;Erraji A., Maizate A., Ouzzif M.;2022;Lecture Notes in Networks and Systems;Conference paper;https://www.scopus.com/pages/publications/85126384176?origin=resultslist;393;;10.1007/978-3-030-94191-8_63
2-s2.0-85132740149;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";431;431: Tool;644;644: Efficiently performing eager data migration;2-s2.0-85132740149;AMANDA: A Middleware for Automatic Migration between Different Database Paradigms;Queiroz J.S., Falcão T.A., Furtado P.M., Soares F.L., Souza T.B.F., Cleis P.V.V.P., Santos F.S., Giuntini F.T.;2022;Applied Sciences (Switzerland);Article;https://www.scopus.com/pages/publications/85132740149?origin=resultslist;12;12;10.3390/app12126106
2-s2.0-85145854771;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);661;661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;2-s2.0-85145854771;DLoader: Migration of Data from SQL to NoSQL Databases;Rajaram K., Sharma P., Selvakumar S.;2023;Cognitive Science and Technology;Book chapter;https://www.scopus.com/pages/publications/85145854771?origin=resultslist;;;10.1007/978-981-19-2358-6_19
2-s2.0-85177428773;SCOPUS;302,305;"302: Relational
305: NoSQL (Graph/ JSON/Key-Value/Other)";422;422: Method (not fully automated);644,661;"644: Efficiently performing eager data migration
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";2-s2.0-85177428773;Migration from Relational Database to Column-Oriented NoSQL Database;Syarbaini Siregar R.A., Azizah F.N.;2023;Proceedings of 2023 IEEE International Conference on Data and Software Engineering, ICoDSE 2023;Conference paper;https://www.scopus.com/pages/publications/85177428773?origin=resultslist;;;10.1109/ICoDSE59534.2023.10291800
