key;EID;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
conf/gpce/VermolenWV11;2-s2.0-81455135806;302;422, 431;641;302: Relational;"422: Method (not fully automated)
431: Tool";641: Data migration script generation;Methods for data migrations for web app's with ORMs;Generating database migrations for evolving web applications.;Sander Daniël Vermolen, Guido Wachsmuth, Eelco Visser;2011;GPCE;Conference and Workshop Papers;https://dblp.org/rec/conf/gpce/VermolenWV11;https://doi.org/10.1145/2047862.2047876;83-92;;;;;10.1145/2047862.2047876
conf/gvd/NosingerKH14;2-s2.0-84919962557;303;421;612;303: XML;421: Algorithm (fully automated);612: SMO composition;Algorithm for reducing the amount of changes during the migration of XML data;Optimization of Sequences of XML Schema Modifications - The ROfEL Approach.;Thomas Nösinger, Meike Klettke, Andreas Heuer;2014;Grundlagen von Datenbanken;Conference and Workshop Papers;https://dblp.org/rec/conf/gvd/NosingerKH14;https://ceur-ws.org/Vol-1313/paper_3.pdf;Νοε-16;;;;;
conf/hase/AssoudiL11;2-s2.0-84856546983;302;431;678;302: Relational;431: Tool;678: Handling of schema mappings among any two schemata;Tool to retain schema mappings for evolving schemata;Self-Healing Data Exchange Process under Evolving Schemas: A New Mapping Adaptation Approach Based on Self-Optimization.;Hicham Assoudi, Hakim Lounis;2011;HASE;Conference and Workshop Papers;https://dblp.org/rec/conf/hase/AssoudiL11;https://doi.org/10.1109/HASE.2011.42;188-190;;;;;10.1109/HASE.2011.42
conf/ic3k/AzaiezA14;2-s2.0-84909951967;302;422;633;302: Relational;422: Method (not fully automated);633: Guaranteeing the correctness/validity of peripheral constructs during evolution;Method (via rules) for propagating DW schema changes to the data marts;How to Guarantee Analysis Results Coherence after Data Warehouse Schema Changes Propagation towards Data Marts?.;Noura Azaiez, Jalel Akaichi;2014;KEOD;Conference and Workshop Papers;https://dblp.org/rec/conf/ic3k/AzaiezA14;https://doi.org/10.5220/0005158304280435;428-435;;;;;10.5220/0005158304280435
conf/icde/CavalieriGM11a;2-s2.0-79958032099;;;;;;;EXCLUDE? vision / phd proposal on XML schema evolution and consistency checking;Updates on XML documents and schemas.;Federico Cavalieri, Giovanna Guerrini, Marco Mesiti;2011;ICDE Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/CavalieriGM11a;https://doi.org/10.1109/ICDEW.2011.5767672;308-311;;;;;10.1109/ICDEW.2011.5767672
conf/icde/CavalieriGMO11;2-s2.0-79958073776;303;421, 412;612;303: XML;"421: Algorithm (fully automated)
412: Theoretical Proof";612: SMO composition;Algorithm for reducing the amount of changes to an XML schema;On the reduction of sequences of XML document and schema update operations.;Federico Cavalieri, Giovanna Guerrini, Marco Mesiti, Barbara Oliboni;2011;ICDE Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/CavalieriGMO11;https://doi.org/10.1109/ICDEW.2011.5767649;77-86;;;;;10.1109/ICDEW.2011.5767649
conf/icde/Decker11;2-s2.0-79958024651;302;412;634;302: Relational;412: Theoretical Proof;634: Guaranteeing the correctness/validity of schema constraints during evolution;Method for guaranteeing schema consistency during evolution;Causes for inconsistency-tolerant schema update management.;Hendrik Decker;2011;ICDE Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/Decker11;https://doi.org/10.1109/ICDEW.2011.5767628;157-161;;;;;10.1109/ICDEW.2011.5767628
conf/icde/HillenbrandSLNK20;2-s2.0-85085728192;305;431, 422;645;305: NoSQL (Graph/ JSON/Key-Value/Other);"431: Tool
422: Method (not fully automated)";645: Data migration strategy determination;Auto decision on lazy/eager/... migration of NoSQL data when they have to migrate (short discusion of tool);Towards Self-Adapting Data Migration in the Context of Schema Evolution in NoSQL Databases.;Andrea Hillenbrand, Uta Störl, Maksym Levchenko, Shamil Nabiyev, Meike Klettke;2020;ICDE Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/HillenbrandSLNK20;https://doi.org/10.1109/ICDEW49219.2020.00013;133-138;;;;;10.1109/ICDEW49219.2020.00013
conf/icde/ScherzingerCA15;2-s2.0-84940829910;305;431;631, 622;305: NoSQL (Graph/ JSON/Key-Value/Other);431: Tool;"631: Guaranteeing the correctness/validity of schema and application code coevolution
622: Impact to external source code when the logical schema changes";Demo paper for a tool checking the consistency of class-schema evolution for apps over nosql data;ControVol: A framework for controlled schema evolution in NoSQL application development.;Stefanie Scherzinger, Thomas Cerqueus, Eduardo Cunha de Almeida;2015;ICDE;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/ScherzingerCA15;https://doi.org/10.1109/ICDE.2015.7113402;1464-1467;;;;;10.1109/ICDE.2015.7113402
conf/icde/ScherzingerMK21;2-s2.0-85112865171;;;;;;;;DeBinelle: Semantic Patches for Coupled Database-Application Evolution.;Stefanie Scherzinger, Wolfgang Mauerer, Haridimos Kondylakis;2021;ICDE;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/ScherzingerMK21;https://doi.org/10.1109/ICDE51399.2021.00307;2697-2700;;;;;10.1109/ICDE51399.2021.00307
conf/icde/Vassiliadis21;2-s2.0-85112866030;;;;;;;;Profiles of Schema Evolution in Free Open Source Software Projects.;Panos Vassiliadis;2021;ICDE;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/Vassiliadis21;https://doi.org/10.1109/ICDE51399.2021.00008;1-Δεκ;;;;;10.1109/ICDE51399.2021.00008
conf/icde/WuN11;2-s2.0-79958059031;302;402, 431;650;302: Relational;"402: Empirical Study
431: Tool";650: Understanding how schemata evolve;Case study on schema evolution;Schema evolution analysis for embedded databases.;Shengfeng Wu, Iulian Neamtiu;2011;ICDE Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icde/WuN11;https://doi.org/10.1109/ICDEW.2011.5767627;151-156;;;;;10.1109/ICDEW.2011.5767627
conf/icdim/BrahmiaGB16;2-s2.0-85014414922;303;411, 413;611;303: XML;"411: Algebra
413: Language";611: SMOs/Languages/Rigorous Models for schema evolution;Method for implementing changes to XML namespaces on the basis of an algebra of operations;Changes to XML namespaces in XML schemas and their effects on associated XML documents under schema versioning.;Zouhaier Brahmia, Fabio Grandi , Rafik Bouaziz;2016;ICDIM;Conference and Workshop Papers;https://dblp.org/rec/conf/icdim/BrahmiaGB16;https://doi.org/10.1109/ICDIM.2016.7829765;43-50;;;;;10.1109/ICDIM.2016.7829765
conf/iceis/CamposA25;2-s2.0-105020389931;;;;;;;;DynaSchema: A Library to Support the Relational Data Schema Evolution for the Self-Adaptive Software Domain.;Gabriel Nagassaki Campos, Frank José Affonso;2025;ICEIS;Conference and Workshop Papers;https://dblp.org/rec/conf/iceis/CamposA25;https://doi.org/10.5220/0013349000003929;722-733;;;;;10.5220/0013349000003929
conf/icse/JongD15;2-s2.0-84962284951;302;431;631, 635;302: Relational;431: Tool;"631: Guaranteeing the correctness/validity of schema and application code coevolution
635: Guaranteeing the zerodowntime of the evolution of a working system";Vision paper for a tool under construction for continuous deployment of apps in the presence of schema evolution;Continuous Deployment and Schema Evolution in SQL Databases.;Michael de Jong, Arie van Deursen;2015;RELENG@ICSE;Conference and Workshop Papers;https://dblp.org/rec/conf/icse/JongD15;https://doi.org/10.1109/RELENG.2015.14;16-19;;;;;10.1109/RELENG.2015.14
conf/icse/JongDC17;2-s2.0-85026828496;302;431;635;302: Relational;431: Tool;635: Guaranteeing the zerodowntime of the evolution of a working system;Method for schema migration via ghost tables for continuous delivery;Zero-Downtime SQL Database Schema Evolution for Continuous Deployment.;Michael de Jong, Arie van Deursen, Anthony Cleve;2017;ICSE-SEIP;Conference and Workshop Papers;https://dblp.org/rec/conf/icse/JongDC17;https://doi.org/10.1109/ICSE-SEIP.2017.5;143-152;;;;;10.1109/ICSE-SEIP.2017.5
conf/icseb/JaimoonS19;2-s2.0-85079879521;302, 308;422;631;"302: Relational
308: ORM";422: Method (not fully automated);631: Guaranteeing the correctness/validity of schema and application code coevolution;Method for evolving hibernate code in the presence of schema evolution;Impact Analysis of Database Schema Changes on Hibernate Source Code and Test Cases.;Amornrat Jaimoon, Taratip Suwannasart;2019;ICSEB;Conference and Workshop Papers;https://dblp.org/rec/conf/icseb/JaimoonS19;https://doi.org/10.1145/3374549.3374579;120-123;;;;;10.1145/3374549.3374579
conf/icsm/Al-BarakB16;2-s2.0-85010755945;302;401;680;302: Relational;401: General Framework;680: General observations/concepts/guidelines around schema evolution;Definition of debt, as potentially hidden problems in the design of a database that hinder evolution;Database Design Debts through Examining Schema Evolution.;Mashel Al-Barak, Rami Bahsoon;2016;MTD@ICSME;Conference and Workshop Papers;https://dblp.org/rec/conf/icsm/Al-BarakB16;https://doi.org/10.1109/MTD.2016.9;17-23;;;;;10.1109/MTD.2016.9
conf/icsm/DelplanqueEAA18;2-s2.0-85058312386;302;402;650, 661;302: Relational;402: Empirical Study;"650: Understanding how schemata evolve
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";Case study for the evolution of an industrial db and hints on how to handle evolution;Relational Database Schema Evolution: An Industrial Case Study.;Julien Delplanque, Anne Etien, Nicolas Anquetil, Olivier Auverlot;2018;ICSME;Conference and Workshop Papers;https://dblp.org/rec/conf/icsm/DelplanqueEAA18;https://doi.org/10.1109/ICSME.2018.00073;635-644;;;;;10.1109/ICSME.2018.00073
conf/icsm/GobertMCW13;2-s2.0-84891679693;302;421;675;302: Relational;421: Algorithm (fully automated);675: Computing the diachronic schema;Algorithm to extract the diachronic schema across versions, to allow visualization of schema evolution;Understanding Schema Evolution as a Basis for Database Reengineering.;Maxime Gobert , Jerome Maes, Anthony Cleve, Jens H. Weber;2013;ICSM;Conference and Workshop Papers;https://dblp.org/rec/conf/icsm/GobertMCW13;https://doi.org/10.1109/ICSM.2013.75;472-475;;;;;10.1109/ICSM.2013.75
conf/icst/GargD12;2-s2.0-84862321807;302;422, 431;622;302: Relational;"422: Method (not fully automated)
431: Tool";622: Impact to external source code when the logical schema changes;Method to identify software tests that should be prioritized due to schema evolution;Test Case Prioritization Due to Database Changes in Web Applications.;Deepak Garg , Amitava Datta;2012;ICST;Conference and Workshop Papers;https://dblp.org/rec/conf/icst/GargD12;https://doi.org/10.1109/ICST.2012.163;726-730;;;;;10.1109/ICST.2012.163
conf/icwe/BraunschweigTL11;2-s2.0-84857726278;;;;;;;EXCLUDE? vision / phd proposal on how to introduce a generic model for multi-model apps and allow evolution;A Flexible Graph-Based Data Model Supporting Incremental Schema Design and Evolution.;Katrin Braunschweig, Maik Thiele, Wolfgang Lehner;2011;ICWE Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/icwe/BraunschweigTL11;https://doi.org/10.1007/978-3-642-27997-3_29;302-306;;;;;10.1007/978-3-642-27997-3_29
conf/icws/KlimekN12;2-s2.0-84866412361;303;411, 431;611;303: XML;"411: Algebra
431: Tool";611: SMOs/Languages/Rigorous Models for schema evolution;Algebra for schema evolution on XML data;Formal Evolution of XML Schemas with Inheritance.;Jakub Klímek, Martin Necaský;2012;ICWS;Conference and Workshop Papers;https://dblp.org/rec/conf/icws/KlimekN12;https://doi.org/10.1109/ICWS.2012.11;496-503;;;;;10.1109/ICWS.2012.11
conf/idc/ChytilPNH13;2-s2.0-84958524343;302;421;633;302: Relational;421: Algorithm (fully automated);633: Guaranteeing the correctness/validity of peripheral constructs during evolution;Propagation of schema changes to adapt SQL queries;Evolution of a Relational Schema and Its Impact on SQL Queries.;Martin Chytil, Marek Polák, Martin Necaský, Irena Holubová;2013;IDC;Conference and Workshop Papers;https://dblp.org/rec/conf/idc/ChytilPNH13;https://doi.org/10.1007/978-3-319-01571-2_2;Μαϊ-15;;;;;10.1007/978-3-319-01571-2_2
conf/ideas/HolubovaKL22;2-s2.0-85139056317;;;;;;;;Self-Adapting Design and Maintenance of Multi-Model Databases.;Irena Holubová, Pavel Koupil, Jiaheng Lu;2022;IDEAS;Conference and Workshop Papers;https://dblp.org/rec/conf/ideas/HolubovaKL22;https://doi.org/10.1145/3548785.3548810;Σεπ-15;;;;;10.1145/3548785.3548810
conf/iiwas/ChabinEFH20;2-s2.0-85100333383;;;;;;;;Graph Rewriting Rules for RDF Database Evolution Management.;Jacques Chabin, Cédric Eichler, Mírian Halfeld Ferrari, Nicolas Hiot;2020;iiWAS;Conference and Workshop Papers;https://dblp.org/rec/conf/iiwas/ChabinEFH20;https://doi.org/10.1145/3428757.3429126;134-143;;;;;10.1145/3428757.3429126
conf/iiwas/NecaskyKMH13;2-s2.0-84896812409;303;431, 422;678;303: XML;"431: Tool
422: Method (not fully automated)";678: Handling of schema mappings among any two schemata;Schema mappings among schema versions for XML data;Methodology for Design and Evolution of XML Schemas using Conceptual Modeling.;Martin Necaský, Jakub Klímek, Jakub Malý, Irena Holubová;2013;iiWAS;Conference and Workshop Papers;https://dblp.org/rec/conf/iiwas/NecaskyKMH13;https://doi.org/10.1145/2539150.2539189;508;;;;;10.1145/2539150.2539189
conf/ipaw/Auge018;2-s2.0-85053830701;302;401;633;302: Relational;401: General Framework;633: Guaranteeing the correctness/validity of peripheral constructs during evolution;Poster paper on a vision for computing the minimal subset of db to be preserved to allow query correctness in the presence of evolution;Combining Provenance Management and Schema Evolution.;Tanja Auge, Andreas Heuer;2018;IPAW;Conference and Workshop Papers;https://dblp.org/rec/conf/ipaw/Auge018;https://doi.org/10.1007/978-3-319-98379-0_24;222-225;;;;;10.1007/978-3-319-98379-0_24
conf/isat/BhroitheHSPHFF19;2-s2.0-85072842169;302;431;634, 635;302: Relational;431: Tool;"634: Guaranteeing the correctness/validity of schema constraints during evolution
635: Guaranteeing the zerodowntime of the evolution of a working system";Tool for handling the evolution of a schema at the metadata level;A Generic Approach to Schema Evolution in Live Relational Databases.;"Anna O&apos;Faoláin de Bhróithe, Fritz Heiden, Alena Schemmert, Dschialin Phan, Lillian Hung, Jörn Freiheit, Frank Fuchs-Kittowski";2019;ISAT;Conference and Workshop Papers;https://dblp.org/rec/conf/isat/BhroitheHSPHFF19;https://doi.org/10.1007/978-3-030-30440-9_11;105-118;;;;;10.1007/978-3-030-30440-9_11
conf/isda/BoukettayaNG18;2-s2.0-85065487694;305;422;643;305: NoSQL (Graph/ JSON/Key-Value/Other);422: Method (not fully automated);643: Efficiently performing lazy data migration;Method for migrating graph databases;Towards the Evolution of Graph Oriented Databases.;Soumaya Boukettaya, Ahlem Nabli, Faïez Gargouri;2018;ISDA;Conference and Workshop Papers;https://dblp.org/rec/conf/isda/BoukettayaNG18;https://doi.org/10.1007/978-3-030-16660-1_39;392-399;;;;;10.1007/978-3-030-16660-1_39
conf/isdfs/ShimmiDKA20;2-s2.0-85087638720;;;;;;;;Analysis of iOS SQLite Schema Evolution for Updating Forensic Data Extraction Tools.;Samiha S. Shimmi, Gokila Dorai, Umit Karabiyik, Sudhir Aggarwal;2020;ISDFS;Conference and Workshop Papers;https://dblp.org/rec/conf/isdfs/ShimmiDKA20;https://doi.org/10.1109/ISDFS49300.2020.9116208;1-Ιουλ;;;;;10.1109/ISDFS49300.2020.9116208
conf/issta/ScherzingerSWKS16;2-s2.0-85050057005;305;431;643;305: NoSQL (Graph/ JSON/Key-Value/Other);431: Tool;643: Efficiently performing lazy data migration;Demo paper on a tool for lazy data migration of NoSQL data;Datalution: a tool for continuous schema evolution in NoSQL-backed web applications.;Stefanie Scherzinger, Stephanie Sombach, Katharina Wiech, Meike Klettke, Uta Störl;2016;QUDOS@ISSTA;Conference and Workshop Papers;https://dblp.org/rec/conf/issta/ScherzingerSWKS16;https://doi.org/10.1145/2945408.2945416;38-39;;;;;10.1145/2945408.2945416
conf/kbse/XieY021;2-s2.0-85125446724;;;;;;;;Automated Code Refactoring upon Database-Schema Changes in Web Applications.;Sophie Xie, Junwen Yang, Shan Lu;2021;ASE;Conference and Workshop Papers;https://dblp.org/rec/conf/kbse/XieY021;https://doi.org/10.1109/ASE51524.2021.9678934;1262-1265;;;;;10.1109/ASE51524.2021.9678934
conf/lwa/AugeMJF020;2-s2.0-85096361442;;;;;;;;Schema Evolution and Reproducibility of Long-term Hydrographic Data Sets at the IOW.;Tanja Auge, Erik Manthey, Susanne Jürgensmann, Susanne Feistel, Andreas Heuer;2020;LWDA;Conference and Workshop Papers;https://dblp.org/rec/conf/lwa/AugeMJF020;https://ceur-ws.org/Vol-2738/LWDA2020_paper_19.pdf;258-269;;;;;
conf/medi/Vassiliadis17;2-s2.0-85030718951;;;;;;;EXCLUDE: Keynote;Schema Evolution and Gravitation to Rigidity: A Tale of Calmness in the Lives of Structured Data.;Panos Vassiliadis;2017;MEDI;Conference and Workshop Papers;https://dblp.org/rec/conf/medi/Vassiliadis17;https://doi.org/10.1007/978-3-319-66854-3_2;18-23;;;;;10.1007/978-3-319-66854-3_2
conf/missi/MarciniakP12;2-s2.0-84867921934;303;421;672;303: XML;421: Algorithm (fully automated);672: Computing the diff of two schemata;Algorithm for detecting delta changes between XML schema versions;Tracking Changes in Database Schemas.;Jakub Marciniak, Tadeusz Pankowski;2012;MISSI;Conference and Workshop Papers;https://dblp.org/rec/conf/missi/MarciniakP12;https://doi.org/10.1007/978-3-642-32335-5_15;155-165;;;;;10.1007/978-3-642-32335-5_15
conf/models/EckwertGT22;2-s2.0-85142933296;;;;;;;;EvolveDB: a tool for model driven schema evolution.;Torben Eckwert, Michael Guckert, Gabriele Taentzer;2022;MoDELS;Conference and Workshop Papers;https://dblp.org/rec/conf/models/EckwertGT22;https://doi.org/10.1145/3550356.3559095;61-65;;;;;10.1145/3550356.3559095
conf/models/Gotz015;2-s2.0-84954564351;302, 308;422;631;"302: Relational
308: ORM";422: Method (not fully automated);631: Guaranteeing the correctness/validity of schema and application code coevolution;Method for syncronizing software in the presence of schema evolution;Models@run.time for Object-Relational Mapping Supporting Schema Evolution.;Sebastian Götz, Thomas Kühn;2015;Models@run.time;Conference and Workshop Papers;https://dblp.org/rec/conf/models/Gotz015;https://ceur-ws.org/Vol-1474/MRT15_paper_10.pdf;41-50;;;;;
conf/models/Hausler24;2-s2.0-85212208283;;;;;;;;Estimation, Impact and Visualization of Schema Evolution in Graph Databases.;Dominique Hausler;2024;MoDELS;Conference and Workshop Papers;https://dblp.org/rec/conf/models/Hausler24;https://doi.org/10.1145/3652620.3688196;123-129;;;;;10.1145/3652620.3688196
conf/models/HauslerK24;2-s2.0-85212233878;;;;;;;;Nautilus: Implementation of an Evolution Approach for Graph Databases.;Dominique Hausler, Meike Klettke;2024;MoDELS;Conference and Workshop Papers;https://dblp.org/rec/conf/models/HauslerK24;https://doi.org/10.1145/3652620.3687781;Νοε-15;;;;;10.1145/3652620.3687781
conf/modelsward/HillenbrandS22;2-s2.0-85172766050;;;;;;;;Automated Curation of Variational Data in NoSQL Databases through Metric-driven Self-adaptive Migration Strategies.;Andrea Hillenbrand, Uta Störl;2022;MODELSWARD;Conference and Workshop Papers;https://dblp.org/rec/conf/modelsward/HillenbrandS22;https://doi.org/10.5220/0010891300003119;279-286;;;;;10.5220/0010891300003119
conf/modelsward/HillenbrandS22a;2-s2.0-85172136418;;;;;;;;Managing Schema Migration in NoSQL Databases: Advisor Heuristics vs. Self-adaptive Schema Migration Strategies.;Andrea Hillenbrand, Uta Störl;2022;MODELSWARD;Conference and Workshop Papers;https://dblp.org/rec/conf/modelsward/HillenbrandS22a;https://doi.org/10.1007/978-3-031-38821-7_11;230-253;;;;;10.1007/978-3-031-38821-7_11
conf/mompes/MoriC12;2-s2.0-84879865774;301, 302;421;632;"301: Conceptual (ER/UML/Other)
302: Relational";421: Algorithm (fully automated);632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution;Algorithm for synchronizing conceptual and logical schema evolution & ensuring consistency;Feature-Based Adaptation of Database Schemas.;Marco Mori, Anthony Cleve;2012;MOMPES;Conference and Workshop Papers;https://dblp.org/rec/conf/mompes/MoriC12;https://doi.org/10.1007/978-3-642-38209-3_6;85-105;;;;;10.1007/978-3-642-38209-3_6
conf/oopsla/SalamaMR12;2-s2.0-84869771732;;;;;;;EXCLUDE? testing framework for data and code changes (does not say how);A methodology for managing database and code changes in a regression testing framework.;Roberto Salama, James McGuire, Michael K. Rosenberg;2012;SPLASH;Conference and Workshop Papers;https://dblp.org/rec/conf/oopsla/SalamaMR12;https://doi.org/10.1145/2384716.2384766;117-120;;;;;10.1145/2384716.2384766
conf/otm/Balsters12;2-s2.0-84873824623;;;;;;;EXCLUDE? reverse engineering for a legacy db via a conceptual framework. Irrelevant to schema evolution?;ORM Logic-Based English (OLE) and the ORM ReDesigner Tool: Fact-Based Reengineering and Migration of Relational Databases.;Herman Balsters;2012;OTM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/otm/Balsters12;https://doi.org/10.1007/978-3-642-33618-8_50;358-367;;;;;10.1007/978-3-642-33618-8_50
conf/otm/MoesWBH12;2-s2.0-84873823740;301;402, 422;661;301: Conceptual (ER/UML/Other);"402: Empirical Study
422: Method (not fully automated)";661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Method for migrating legacy db's via a conceptual framework;A Validatable Legacy Database Migration Using ORM.;Tjeerd H. Moes, Jan Pieter Wijbenga, Herman Balsters, George B. Huitema;2012;OTM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/otm/MoesWBH12;https://doi.org/10.1007/978-3-642-33618-8_55;409-418;;;;;10.1007/978-3-642-33618-8_55
conf/otm/NecaskyMK11;2-s2.0-81255166891;303, 301;411, 422;611, 632;"303: XML
301: Conceptual (ER/UML/Other)";"411: Algebra
422: Method (not fully automated)";"611: SMOs/Languages/Rigorous Models for schema evolution
632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution";XML schema evolution via a platform-independent model and an algebra of operations;Model-Driven Approach to XML Schema Evolution.;Martin Necaský, Irena Mlýnková, Jakub Klímek;2011;OTM Workshops;Conference and Workshop Papers;https://dblp.org/rec/conf/otm/NecaskyMK11;https://doi.org/10.1007/978-3-642-25126-9_63;514-523;;;;;10.1007/978-3-642-25126-9_63
conf/pldi/RennerSBLS21;2-s2.0-85108906384;;;;;;;;"Scooter &amp; Sidecar: a domain-specific approach to writing secure database migrations.";John Renner, Alex Sanchez-Stern, Fraser Brown, Sorin Lerner, Deian Stefan;2021;PLDI;Conference and Workshop Papers;https://dblp.org/rec/conf/pldi/RennerSBLS21;https://doi.org/10.1145/3453483.3454072;710-724;;;;;10.1145/3453483.3454072
conf/qrs/MeuriceNC16;2-s2.0-84995503678;302, 308;422;622, 631;"302: Relational
308: ORM";422: Method (not fully automated);"622: Impact to external source code when the logical schema changes
631: Guaranteeing the correctness/validity of schema and application code coevolution";Method for what-if analysis for schema evolution in the presence of JPA;Detecting and Preventing Program Inconsistencies under Database Schema Evolution.;Loup Meurice, Csaba Nagy , Anthony Cleve;2016;QRS;Conference and Workshop Papers;https://dblp.org/rec/conf/qrs/MeuriceNC16;https://doi.org/10.1109/QRS.2016.38;262-273;;;;;10.1109/QRS.2016.38
conf/RelMiCS/JoostenJ24;2-s2.0-85201975358;;;;;;;;Data Migration Under a Changing Schema in Ampersand.;Sebastiaan J. C. Joosten, Stef Joosten;2024;RAMiCS;Conference and Workshop Papers;https://dblp.org/rec/conf/RelMiCS/JoostenJ24;https://doi.org/10.1007/978-3-031-68279-7_11;175-192;;;;;10.1007/978-3-031-68279-7_11
conf/sac/PicalausaSZ11;2-s2.0-79959289097;;;;;;;EXCLUDE? framework for on-line validation of XML data, via an automaton. Irrelevant to schema evolution?;XEvolve: an XML schema evolution framework.;François Picalausa, Frédéric Servais, Esteban Zimányi;2011;SAC;Conference and Workshop Papers;https://dblp.org/rec/conf/sac/PicalausaSZ11;https://doi.org/10.1145/1982185.1982530;1645-1650;;;;;10.1145/1982185.1982530
conf/scam/FinkGC20;2-s2.0-85097643045;;;;;;;;Adapting Queries to Database Schema Changes in Hybrid Polystores.;Jérôme Fink, Maxime Gobert , Anthony Cleve;2020;SCAM;Conference and Workshop Papers;https://dblp.org/rec/conf/scam/FinkGC20;https://doi.org/10.1109/SCAM51674.2020.00019;127-131;;;;;10.1109/SCAM51674.2020.00019
conf/seke/OubelliABCL19;2-s2.0-85071360392;301;422, 431;661;301: Conceptual (ER/UML/Other);"422: Method (not fully automated)
431: Tool";661: Method/guidelines/hints on how to evolve a schema as a sequence of steps;Method and tool to check the correctness of conceptual model evolution with respect to data preservation on the basis of rules;Finding conservative schema evolutions by analysing API changes.;Lynda Ait Oubelli, Yamine Aït Ameur, Judicaël Bedouet, Benoît Chausserie-Lapree, Béatrice Larzul;2019;SEKE;Conference and Workshop Papers;https://dblp.org/rec/conf/seke/OubelliABCL19;https://doi.org/10.18293/SEKE2019-132;748-777;;;;;10.18293/SEKE2019-132
conf/semweb/BaronciniMSSP22;2-s2.0-85142359880;;;;;;;;Analysing the Evolution of Community-Driven (Sub-)Schemas within Wikidata.;Sofia Baroncini, Margherita Martorana, Mario Scrocca, Zuzanna Smiech, Axel Polleres;2022;Wikidata@ISWC;Conference and Workshop Papers;https://dblp.org/rec/conf/semweb/BaronciniMSSP22;https://ceur-ws.org/Vol-3262/paper5.pdf;;;;;;
conf/sigmod/BhattacherjeeLH21;2-s2.0-85108970404;;;;;;;;BullFrog: Online Schema Evolution via Lazy Evaluation.;Souvik Bhattacherjee, Gang Liao, Michael Hicks , Daniel J. Abadi;2021;SIGMOD Conference;Conference and Workshop Papers;https://dblp.org/rec/conf/sigmod/BhattacherjeeLH21;https://doi.org/10.1145/3448016.3452842;194-206;;;;;10.1145/3448016.3452842
conf/sigmod/HerrmannVBRL17;2-s2.0-85021194591;302;411, 431, 413;611, 677;302: Relational;"411: Algebra
431: Tool
413: Language";"611: SMOs/Languages/Rigorous Models for schema evolution
677: Schema version management techniques";Bidirectional transformations across schema versions;Living in Parallel Realities: Co-Existing Schema Versions with a Bidirectional Database Evolution Language.;Kai Herrmann , Hannes Voigt, Andreas Behrend, Jonas Rausch, Wolfgang Lehner;2017;SIGMOD Conference;Conference and Workshop Papers;https://dblp.org/rec/conf/sigmod/HerrmannVBRL17;https://doi.org/10.1145/3035918.3064046;1101-1116;;;;;10.1145/3035918.3064046
conf/sigsoft/QiuLS13;2-s2.0-84883716265;302;402;650;302: Relational;402: Empirical Study;650: Understanding how schemata evolve;Case study on schema evolution, as well as schema and software co-evolution;An empirical analysis of the co-evolution of schema and code in database applications.;Dong Qiu, Bixin Li, Zhendong Su;2013;ESEC/SIGSOFT FSE;Conference and Workshop Papers;https://dblp.org/rec/conf/sigsoft/QiuLS13;https://doi.org/10.1145/2491411.2491431;125-135;;;;;10.1145/2491411.2491431
conf/splc/0001LPP23;2-s2.0-85176013364;;;;;;;;Adapting the Database to Feature Changes in Software Product Lines.;Alejandro Cortiñas , Miguel R. Luaces, Oscar Pedreira, Ángeles Saavedra Places;2023;SPLC;Conference and Workshop Papers;https://dblp.org/rec/conf/splc/0001LPP23;https://doi.org/10.1145/3579027.3608990;194-200;;;;;10.1145/3579027.3608990
conf/splc/Klettke25;2-s2.0-105017224476;;;;;;;;Evolution of Relational Databases, NoSQL and Graph Databases.;Meike Klettke;2025;SPLC;Conference and Workshop Papers;https://dblp.org/rec/conf/splc/Klettke25;https://doi.org/10.1145/3744915.3749150;1;;;;;10.1145/3744915.3749150
conf/ssdbm/SchulerK18;2-s2.0-85054936365;302;411, 413;611;302: Relational;"411: Algebra
413: Language";611: SMOs/Languages/Rigorous Models for schema evolution;Algebra and language of SMOs;Towards an efficient and effective framework for the evolution of scientific databases.;Robert E. Schuler, Carl Kesselman;2018;SSDBM;Conference and Workshop Papers;https://dblp.org/rec/conf/ssdbm/SchulerK18;https://doi.org/10.1145/3221269.3221300;27:1-27:4;;;;;10.1145/3221269.3221300
