Reviewer2;EID;Authors;AuthorFullNames;AuthorIDs;Title;Year;SourceTitle;Volume;Issue;ArtNo;PageStart;PageEnd;citedBy;doi_lowercase;DOI;Link;DocumentTypeSCOPUS;PublicationStage;OpenAccess;SourceSCOPUS
N;2-s2.0-84865696986;Van A.N., Oo K.S., Takeuchi W.;Van, An Ngoc (25926159900) | Oo, Kyaw Sann (55348715700) | Takeuchi, Wataru (55348898500);25926159900 | 55348715700 | 55348898500;Updates of GPS photos database and application development on Apple's iPhone and iPad;2011;32nd Asian Conference on Remote Sensing 2011, ACRS 2011;2;;;770;774;;;;https://www.scopus.com/pages/publications/84865696986?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84867487674;Vermolen S.D., Wachsmuth G., Visser E.;Vermolen, Sander D. (25654137800) | Wachsmuth, Guido (23399108800) | Visser, Eelco (7004411487);25654137800 | 23399108800 | 7004411487;Generating database migrations for evolving web applications;2012;ACM SIGPLAN Notices;47;3;;83;92;;10.1145/2189751.2047876;10.1145/2189751.2047876;https://www.scopus.com/pages/publications/84867487674?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84867737998;Wang Q., Liu N., Yu C.;Wang, Qian (58742631200) | Liu, Naijia (54982612900) | Yu, Chun (56434829600);58742631200 | 54982612900 | 56434829600;Research and practice of university database migration;2012;Proceedings of 2012 International Symposium on Information Technologies in Medicine and Education, ITME 2012;1;;6291240;31;34;;10.1109/itime.2012.6291240;10.1109/ITiME.2012.6291240;https://www.scopus.com/pages/publications/84867737998?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84867788337;Efftinge S., Frey S., Hasselbring W., Köhnlein J.;Efftinge, Sven (55427505200) | Frey, SÃ¶ren (37103873500) | Hasselbring, Wilhelm (26643500000) | KÃ¶hnlein, Jan (55427534400);55427505200 | 37103873500 | 26643500000 | 55427534400;"Use of domain-specific languages for the migration of database applications; [Einsatz domänenspezifischer sprachen zur migration von datenbankanwendungen]";2011;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);180;;;554;573;;;;https://www.scopus.com/pages/publications/84867788337?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84868154630;Zuo F., Zhang W.;Zuo, Fang (51666334900) | Zhang, Wei (57775688000);51666334900 | 57775688000;Evolutionary game-based node's incentive schema for P2P networks;2012;International Review on Computers and Software;7;3;;1028;1037;;;;https://www.scopus.com/pages/publications/84868154630?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84868293368;Xie Q.;Xie, Qiang (55211258100);55211258100;The establishment of the database of mathematics history;2013;Advances in Intelligent Systems and Computing;191 AISC;;;369;374;;10.1007/978-3-642-33030-8_60;10.1007/978-3-642-33030-8_60;https://www.scopus.com/pages/publications/84868293368?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84868628165;Liu Z.H., Behrend A., Chan E., Gawlick D., Ghoneimy A.;Liu, Zhen Hua (56154251700) | Behrend, Andreas (22333590700) | Chan, Eric (55457278600) | Gawlick, Dieter (6602224090) | Ghoneimy, Adel (42761404100);56154251700 | 22333590700 | 55457278600 | 6602224090 | 42761404100;KIDS: A model for developing evolutionary database applications;2012;DATA 2012 - Proceedings of the International Conference on Data Technologies and Applications;;;;129;134;;;;https://www.scopus.com/pages/publications/84868628165?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84869035081;Pereira R.H.R., Perez-Schofield J.B.G.;Pereira, Rui Humberto R. (55421047200) | Perez-Schofield, J. Baltasar GarcÃ­a (6507068517);55421047200 | 6507068517;Database evolution on an orthogonal persistent programming system: A semi-transparent approach;2012;Iberian Conference on Information Systems and Technologies, CISTI;;;6263182;;;;;;https://www.scopus.com/pages/publications/84869035081?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84871242752;Nösinger T., Klettke M., Heuer A.;NÃ¶singer, Thomas (55531864500) | Klettke, Meike (16039653400) | Heuer, Andreas (9533312500);55531864500 | 16039653400 | 9533312500;"Evolution of XML schemata on conceptional level. Review: The codex approach for the solution of the validity problem; [Evolution von XML-Schemata auf Konzeptioneller Ebene Übersicht: Der Codex-Ansatz zur Lösung des Gültigkeitsproblems]";2012;CEUR Workshop Proceedings;850;;;29;34;;;;https://www.scopus.com/pages/publications/84871242752?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84872153544;Meng X., Ma Z., Zhang X., Wang X.;Meng, Xiangfu (15045452400) | Ma, Zongmin (13205045700) | Zhang, Xiaoyan (56375324100) | Wang, Xing (56023445900);15045452400 | 13205045700 | 56375324100 | 56023445900;A categorization approach based on adapted decision tree algorithm for Web databases query results;2012;Jisuanji Yanjiu yu Fazhan/Computer Research and Development;49;12;;2656;2670;;;;https://www.scopus.com/pages/publications/84872153544?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84875200719;Nigam A., Indoria A., Tripathi R.C.;Nigam, Akriti (55626503100) | Indoria, Ajay (55626663600) | Tripathi, R.C. (56900561500);55626503100 | 55626663600 | 56900561500;Fuzzy clustering of image trademark database and pre-processing using adaptive filter and Karhunen-Loève transform;2013;Communications in Computer and Information Science;276 CCIS;;;297;305;;10.1007/978-3-642-37463-0_27;10.1007/978-3-642-37463-0_27;https://www.scopus.com/pages/publications/84875200719?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84876314550;Yan J., Zhang B.;Yan, Jianfeng (26666138800) | Zhang, Bo (55902382800);26666138800 | 55902382800;Enabling migration of enterprise applications in SaaS via progressive schema evolution;2011;Lecture Notes in Business Information Processing;74 LNBIP;;;229;256;;10.1007/978-3-642-19294-4_10;10.1007/978-3-642-19294-4_10;https://www.scopus.com/pages/publications/84876314550?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84876772186;Haque W., Mahmud S.N.;Haque, Waqar (6701452341) | Mahmud, Shah N. (54955846500);6701452341 | 54955846500;An adaptive load-sensing priority assignment protocol for real-time distributed database systems;2012;Proceedings of the IASTED International Conference on Parallel and Distributed Computing and Systems;;;;54;61;;10.2316/p.2012.789-034;10.2316/P.2012.789-034;https://www.scopus.com/pages/publications/84876772186?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84879222069;Verma R., Schwaneberg U., Roccatano D.;Verma, Rajni (11339218700) | Schwaneberg, Ulrich (6603076958) | Roccatano, Danilo (55953855600);11339218700 | 6603076958 | 55953855600;Computer-aided protein directed evolution: A review of web servers, databases and other computational tools for protein engineering;2012;Computational and Structural Biotechnology Journal;2;3;e201209008;e201209008;;;10.5936/csbj.201209008;10.5936/csbj.201209008;https://www.scopus.com/pages/publications/84879222069?origin=resultslist;Article;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
Y;2-s2.0-84879293534;Hu Y., Qu W.;Hu, Yong (55772405200) | Qu, Weiping (55772774600);55772405200 | 55772774600;Efficiently Extracting Change Data from Column Oriented NoSQL Databases;2013;Smart Innovation, Systems and Technologies;21;;;587;598;;10.1007/978-3-642-35473-1_58;10.1007/978-3-642-35473-1_58;https://www.scopus.com/pages/publications/84879293534?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84879493352;Liroz-Gistau M., Juárez-Rodríguez J.R., Armendáriz-Íñigo J.E., de Mendívil J.R.G., Muñoz-Escoí F.D.;Liroz-Gistau, M. (35317816200) | JuÃ¡rez-RodrÃ­guez, J.R. (15123848500) | ArmendÃ¡riz-ÃÃ±igo, J.E. (8916281700) | de MendÃ­vil, J. R. GonzÃ¡lez (6603125131) | MuÃ±oz-EscoÃ­, F.D. (6507651986);35317816200 | 15123848500 | 8916281700 | 6603125131 | 6507651986;A hybrid approach for database replication: Finding the optimal configuration between update everywhere and primary copy paradigms;2011;Communications in Computer and Information Science;50;;;205;217;;10.1007/978-3-642-20116-5;10.1007/978-3-642-20116-5;https://www.scopus.com/pages/publications/84879493352?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84879997737;Thamarux P., Rattanapop U.;Thamarux, Patcharavadee (55790696500) | Rattanapop, Ubonsri (55790455000);55790696500 | 55790455000;GIS database development for change detection of EGAT reservoir area: Trespass area case study;2012;33rd Asian Conference on Remote Sensing 2012, ACRS 2012;1;;;904;913;;;;https://www.scopus.com/pages/publications/84879997737?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84880204065;Wang Q., Du Z., Liu N.;Wang, Qian (58742631200) | Du, Zhao (55321230300) | Liu, Naijia (54982612900);58742631200 | 55321230300 | 54982612900;Design and realization of database online migration;2012;Proceedings of 2nd International Conference on Computer Science and Network Technology, ICCSNT 2012;;;6526138;1195;1198;;10.1109/iccsnt.2012.6526138;10.1109/ICCSNT.2012.6526138;https://www.scopus.com/pages/publications/84880204065?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84880767092;Lin Y.-H., Chueh H.-E., Chen J.-C.;Lin, Yo-Hsien (15923067800) | Chueh, Hao-En (14631678100) | Chen, Jong-Chen (7501899221);15923067800 | 14631678100 | 7501899221;A differentiation analysis of clinical database with the evolutionary neuromolecular hardware;2012;Advanced Science Letters;5;2;;864;868;;10.1166/asl.2012.1807;10.1166/asl.2012.1807;https://www.scopus.com/pages/publications/84880767092?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84883062204;Zhou X., Zhan D., Nie L., Meng F., Xu X.;Zhou, Xuequan (37262140300) | Zhan, Dechen (7006044787) | Nie, Lanshun (13405622800) | Meng, Fanchao (55426658300) | Xu, Xiaofei (57204331896);37262140300 | 7006044787 | 13405622800 | 55426658300 | 57204331896;Suitable database development framework for business component migration in SaaS multi-tenant model;2013;Proceedings of International Conference on Service Science, ICSS;;;6519769;90;95;;10.1109/icss.2013.53;10.1109/ICSS.2013.53;https://www.scopus.com/pages/publications/84883062204?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84887286055;Petersen N., Stricker D.;Petersen, Nils (35318283600) | Stricker, Didier (57479589400);35318283600 | 57479589400;Adaptive search tree database indexing for hand tracking;2012;Proc. of the IADIS Int. Conf. Computer Graphics, Visualization, Computer Vision and Image Processing 2012, CGVCVIP 2012, Part of the IADIS MCCSIS 2012;;;;55;62;;;;https://www.scopus.com/pages/publications/84887286055?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84888374337;Liu R., Issa R.R.A.;Liu, R. (36045152400) | Issa, R.R.A. (35587852800);36045152400 | 35587852800;Automatically updating maintenance information from a BIM Database;2012;Congress on Computing in Civil Engineering, Proceedings;;;;373;380;;10.1061/9780784412343.0047;10.1061/9780784412343.0047;https://www.scopus.com/pages/publications/84888374337?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84890568046;Winokur J., Conrad P., Sraj I., Knio O., Srinivasan A., Thacker W.C., Marzouk Y., Iskandarani M.;Winokur, Justin (55044491200) | Conrad, Patrick (36701098600) | Sraj, Ihab (35747486600) | Knio, Omar (7006276528) | Srinivasan, Ashwanth (15078686500) | Thacker, W. Carlisle (7005960075) | Marzouk, Youssef (6603178526) | Iskandarani, Mohamed (6701448816);55044491200 | 36701098600 | 35747486600 | 7006276528 | 15078686500 | 7005960075 | 6603178526 | 6701448816;A priori testing of sparse adaptive polynomial chaos expansions using an ocean general circulation model database;2013;Computational Geosciences;17;6;;899;911;;10.1007/s10596-013-9361-3;10.1007/s10596-013-9361-3;https://www.scopus.com/pages/publications/84890568046?origin=resultslist;Article;Final;;Scopus
Y;2-s2.0-84890886044;Bahaj M., El Alami A.;Bahaj, Mohamed (24922487300) | El Alami, Alae (57189498602);24922487300 | 57189498602;The migration of data from a Relational Database (RDB) to an Object Relational (ORDB) Database;2013;Journal of Theoretical and Applied Information Technology;58;2;;261;269;;;;https://www.scopus.com/pages/publications/84890886044?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84893167596;Limam Mansar S., Jariwala S., Behih N., Shahzad M., Anggraini A.;Limam Mansar, Selma (55663031900) | Jariwala, Shashank (57194948317) | Behih, Nawal (56019089200) | Shahzad, Maahd (56018648600) | Anggraini, Aysha (56020574100);55663031900 | 57194948317 | 56019089200 | 56018648600 | 56020574100;Adapting a database of text messages to a mobile-based weight loss program: The case of the middle east;2014;International Journal of Telemedicine and Applications;;;658149;;;;10.1155/2014/658149;10.1155/2014/658149;https://www.scopus.com/pages/publications/84893167596?origin=resultslist;Conference paper;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
N;2-s2.0-84894109428;Donatelli M., Fumagalli D., Zucchini A., Duveiller G., Nelson R.L., Baruth B.;Donatelli, M. (7003805384) | Fumagalli, D. (55195235700) | Zucchini, A. (55194252000) | Duveiller, G. (23970165000) | Nelson, R.L. (55451979000) | Baruth, B. (6603655067);7003805384 | 55195235700 | 55194252000 | 23970165000 | 55451979000 | 6603655067;A EU27 database of daily weather data derived from climate change scenarios for use with crop simulation models;2012;iEMSs 2012 - Managing Resources of a Limited Planet: Proceedings of the 6th Biennial Meeting of the International Environmental Modelling and Software Society;;;;868;875;;;;https://www.scopus.com/pages/publications/84894109428?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84894217346;Salami B., Baharani M., Noori H.;Salami, Bagher (56039557800) | Baharani, Mohammadreza (55974435800) | Noori, Hamid (56438067500);56039557800 | 55974435800 | 56438067500;An adaptive temperature threshold schema for dynamic thermal management of multi-core processors;2013;Proceedings - 17th CSI International Symposium on Computer Architecture and Digital Systems, CADS 2013;;;6714247;119;120;;10.1109/cads.2013.6714247;10.1109/CADS.2013.6714247;https://www.scopus.com/pages/publications/84894217346?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84894459362;Gokulakannan E., Venkatachalapathy K.;Gokulakannan, E. (56045831300) | Venkatachalapathy, K. (6602477530);56045831300 | 6602477530;Survey on privacy preserving updates on unidentified database;2013;2013 4th International Conference on Computing, Communications and Networking Technologies, ICCCNT 2013;;;6726507;;;;10.1109/icccnt.2013.6726507;10.1109/ICCCNT.2013.6726507;https://www.scopus.com/pages/publications/84894459362?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84895242829;Manhães R.S., Silva F.L.C., de Carvalho R.A.;ManhÃ£es, Rodrigo Soares (55317351300) | Silva, Fernando Luiz de Carvalho e (56055784700) | de Carvalho, RogÃ©rio Atem (57105898300);55317351300 | 56055784700 | 57105898300;Embracing changes in databases;2011;Relational Databases and Open Source Software Developments;;;;119;124;;;;https://www.scopus.com/pages/publications/84895242829?origin=resultslist;Book chapter;Final;;Scopus
N;2-s2.0-84895298961;Kita E.;Kita, Eisuke (56033080000);56033080000;Evolutionary algorithm based on concept of stochastic schemata exploiter;2011;Computer Search Algorithms;;;;161;184;;;;https://www.scopus.com/pages/publications/84895298961?origin=resultslist;Book chapter;Final;;Scopus
Y;2-s2.0-84898239285;Wu X., Xia J.C., West G., Arnold L., Veenendaal B.;Wu, Xiaoying (56111199500) | Xia, Jianhong Cecilia (26636183500) | West, Geoff (7201945896) | Arnold, Lesley (7202014215) | Veenendaal, Bert (6506055740);56111199500 | 26636183500 | 7201945896 | 7202014215 | 6506055740;Managing schema evolution in a federated spatial database system;2012;Discovery of Geospatial Resources: Methodologies, Technologies, and Emergent Applications;;;;56;77;;10.4018/978-1-4666-0945-7.ch004;10.4018/978-1-4666-0945-7.ch004;https://www.scopus.com/pages/publications/84898239285?origin=resultslist;Book chapter;Final;All Open Access | Green Open Access;Scopus
N;2-s2.0-84899018267;Hamilton L., Lommel P., Galvin T., Jacob J., De Bitetto P., Mitchell M.;Hamilton, Lei (59831072000) | Lommel, Pete (15072128000) | Galvin, Timothy (56121802500) | Jacob, Jason (56121616100) | De Bitetto, Paul (56123149900) | Mitchell, Megan (57198745464);59831072000 | 15072128000 | 56121802500 | 56121616100 | 56123149900 | 57198745464;Nav-by-Search: Exploiting geo-referenced image databases for absolute position updates;2013;26th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS 2013;1;;;529;536;;;;https://www.scopus.com/pages/publications/84899018267?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84902596899;Agrawal J., Soni S., Sharma S., Agrawal S.;Agrawal, Jitendra (35736932700) | Soni, Sanyogita (57614561600) | Sharma, Sanjeev (55574195685) | Agrawal, Shikha (55553880600);35736932700 | 57614561600 | 55574195685 | 55553880600;Modification of density based spatial clustering algorithm for large database using Naïve's Bayes' theorem;2014;Proceedings - 2014 4th International Conference on Communication Systems and Network Technologies, CSNT 2014;;;6821430;419;423;;10.1109/csnt.2014.89;10.1109/CSNT.2014.89;https://www.scopus.com/pages/publications/84902596899?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84903462533;Batsaikhan V., Amarsaikhan D.;Batsaikhan, V. (55789618200) | Amarsaikhan, D. (16052116000);55789618200 | 16052116000;Update of Mongolian disaster management database by RS data;2013;34th Asian Conference on Remote Sensing 2013, ACRS 2013;5;;;4050;4053;;;;https://www.scopus.com/pages/publications/84903462533?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84903466215;Binh B.Q.;Binh, Bui Quang (56237858300);56237858300;A comprehensive set of databases and maps for Mekong Delta provinces in Vietnam to protecting forest cover and climate change adaptation;2013;34th Asian Conference on Remote Sensing 2013, ACRS 2013;5;;;4214;4225;;;;https://www.scopus.com/pages/publications/84903466215?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84903848582;Manjula K.R., Jyothi S.;Manjula, K.R. (16417275800) | Jyothi, Singaraju (59048048400);16417275800 | 59048048400;Spatial datamodel based schema creation for the forest change phenomenon;2014;2014 International Conference on Computing for Sustainable Global Development, INDIACom 2014;;;6828115;130;135;;10.1109/indiacom.2014.6828115;10.1109/IndiaCom.2014.6828115;https://www.scopus.com/pages/publications/84903848582?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84904489076;Jainae J., Suwannasart T.;Jainae, Jiratchaya (56278652400) | Suwannasart, Taratip (8963028800);56278652400 | 8963028800;A tool for test case impact analysis of database schema changes using use cases;2014;ICISA 2014 - 2014 5th International Conference on Information Science and Applications;;;6847346;;;;10.1109/icisa.2014.6847346;10.1109/ICISA.2014.6847346;https://www.scopus.com/pages/publications/84904489076?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84906675979;Contreras J.A., Arias J., Luengo R., Casas L.M.;Contreras, Juan Angel (55933607300) | Arias, Juan (55932734900) | Luengo, Ricardo (56128788100) | Casas, Luis Manuel (36631485000);55933607300 | 55932734900 | 56128788100 | 36631485000;"Proposal for basic contents the subjects of Database in graduate studies in computer science at the Spanish universities adapted to the EHEA; [Propuesta de contenidos básicos para la/las asignatura/s de Bases de Datos en los estudios de Grado en Informática en las universidades españolas adaptadas al EEES]";2014;Iberian Conference on Information Systems and Technologies, CISTI;;;6877021;;;;10.1109/cisti.2014.6877021;10.1109/CISTI.2014.6877021;https://www.scopus.com/pages/publications/84906675979?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84907091815;Chen L.-T., Xu Q.-R., Wu Z.-Y.;Chen, Li-Tian (35204433200) | Xu, Qing-Rui (7403744136) | Wu, Zhi-Yan (57212971289);35204433200 | 7403744136 | 57212971289;Strategic schema, innovation search and technological innovation capability evolution - Theoretical modeling and simulation based on system dynamics;2014;Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice;34;7;;1705;1719;;;;https://www.scopus.com/pages/publications/84907091815?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84907301245;Brauer C.S., Johnson T.J., Blake T.A., Sharpe S.W., Sams R.L., Tonkyn R.G.;Brauer, Carolyn S. (8070987300) | Johnson, Timothy J. (7404018901) | Blake, Thomas A. (57190745162) | Sharpe, Steven W. (24531569600) | Sams, Robert L. (7005963035) | Tonkyn, Russell G. (6602658417);8070987300 | 7404018901 | 57190745162 | 24531569600 | 7005963035 | 6602658417;The Northwest Infrared (NWIR) gas-phase spectral database of industrial and environmental chemicals: Recent updates;2014;Proceedings of SPIE - The International Society for Optical Engineering;9106;;910604;;;;10.1117/12.2053591;10.1117/12.2053591;https://www.scopus.com/pages/publications/84907301245?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84907468721;Parthasarathy G., Tomar D.C.;Parthasarathy, G. (56349836000) | Tomar, D.C. (55279856400);56349836000 | 55279856400;Optimized prune based data mining (opbdm) for distributed databases: An adaptive approach;2014;Journal of Theoretical and Applied Information Technology;67;3;;717;725;;;;https://www.scopus.com/pages/publications/84907468721?origin=resultslist;Article;Final;;Scopus
N;2-s2.0-84907921328;Xu J.-B., Zhang H.-Q., Zhang J.-L.;Xu, Jian-Bo (56304337000) | Zhang, Hui-Qing (7409201266) | Zhang, Jing-Li (56303596500);56304337000 | 7409201266 | 56303596500;Self-adapting multi-fingerprints joint indoor positioning algorithm in WLAN based on database of AP ID;2014;Proceedings of the 33rd Chinese Control Conference, CCC 2014;;;6896680;534;538;;10.1109/chicc.2014.6896680;10.1109/ChiCC.2014.6896680;https://www.scopus.com/pages/publications/84907921328?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84913585080;Yu F., Luo C., Hou W.-C., Jones E.S.;Yu, Feng (50362320800) | Luo, Cheng (36708008300) | Hou, Wen-Chi (55430421700) | Jones, Eric S. (55448351400);50362320800 | 36708008300 | 55430421700 | 55448351400;Asynchronous update on out-of-core column-store databases utilizing the timestamped binary association table;2014;27th International Conference on Computer Applications in Industry and Engineering, CAINE 2014;;;;215;220;;;;https://www.scopus.com/pages/publications/84913585080?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84919396213;Chiao C.M., Künzle V., Reichert M.;Chiao, Carolina Ming (55574656200) | KÃ¼nzle, Vera (26648851700) | Reichert, Manfred (9734809800);55574656200 | 26648851700 | 9734809800;Towards Schema Evolution in Object-aware Process Management Systems;2014;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);P-234;;;101;115;;;;https://www.scopus.com/pages/publications/84919396213?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84919429582;Darwish M., Elgohery R., Badr N., Faheem H.;Darwish, Mahmoud (57195491309) | Elgohery, Rania (26326663300) | Badr, Nagwa (6602448188) | Faheem, Hossam (57212482180);57195491309 | 26326663300 | 6602448188 | 57212482180;An efficient incremental maintenance for association rules mining based on distributed databases;2014;Proceedings of 2013 3rd International Conference on Computer Science and Network Technology, ICCSNT 2013;;;6967140;404;408;;10.1109/iccsnt.2013.6967140;10.1109/ICCSNT.2013.6967140;https://www.scopus.com/pages/publications/84919429582?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84920520142;Bouasker T., Langar M.;Bouasker, Taycir (56470761900) | Langar, Mahjoub (26031582900);56470761900 | 26031582900;Towards a rich and updated web services database;2014;Proceedings - 2014 International Workshop on Advanced Information Systems for Enterprises, IWAISE 2014;;;6978145;40;44;;10.1109/iwaise.2014.16;10.1109/IWAISE.2014.16;https://www.scopus.com/pages/publications/84920520142?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84921993063;Dividino R., Scherp A., Gröner G., Gottron T.;Dividino, Renata (26423642100) | Scherp, Ansgar (55897911000) | GrÃ¶ner, Gerd (36184417500) | Gottron, Thomas (23995063700);26423642100 | 55897911000 | 36184417500 | 23995063700;Change-a-LOD: Does the schema on the linked data cloud change or not?;2013;CEUR Workshop Proceedings;1034;;;;;;;;https://www.scopus.com/pages/publications/84921993063?origin=resultslist;Conference paper;Final;;Scopus
Y;2-s2.0-84923658503;Beine M., Hames N., Weber J.H., Cleve A.;Beine, Mathieu (56530543200) | Hames, Nicolas (56530794300) | Weber, Jens H. (35761701000) | Cleve, Anthony (8694759600);56530543200 | 56530794300 | 35761701000 | 8694759600;Bidirectional transformations in database evolution: A case study at scale;2014;CEUR Workshop Proceedings;1133;;;100;107;;;;https://www.scopus.com/pages/publications/84923658503?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84923927068;Le Bris A., Chehata N.;Le Bris, Arnaud (22135725700) | Chehata, Nesrine (8598290000);22135725700 | 8598290000;Change detection in a topographic building database using submetric satellite images;2011;International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives;38;3W22;;25;30;;;;https://www.scopus.com/pages/publications/84923927068?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84924098258;Ulyanova S., Sinepol V.;Ulyanova, Svetlana (56538699400) | Sinepol, Vladislav (57215276921);56538699400 | 57215276921;Toolbox for Historical and Biographical Research (Prosopographic Databases on Russian History);2015;Proceedings - 3rd International Conference on Computer Technology in Russia and in the Former Soviet Union, SoRuCom 2014;;;7032983;183;186;;10.1109/sorucom.2014.47;10.1109/SoRuCom.2014.47;https://www.scopus.com/pages/publications/84924098258?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84924251797;Dini G.R., Jacobsen K., Rottensteiner F., Al Rajhi M., Heipke C.;Dini, G.R. (14031334100) | Jacobsen, K. (55160481100) | Rottensteiner, F. (6506388437) | Al Rajhi, M. (56533945800) | Heipke, C. (7004264889);14031334100 | 55160481100 | 6506388437 | 56533945800 | 7004264889;3D building change detection using high resolution stereo images and a GIS database;2012;International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives;39;;;299;304;;;;https://www.scopus.com/pages/publications/84924251797?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84924273760;Schäfer A.L.;SchÃ¤fer, A.L. (56539331900);56539331900;A conceptual modeling of spatio-temporal database to estimate runoff changes in Urbanized watersheds;2014;International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives;40;2;;21;27;;10.5194/isprsarchives-xl-2-21-2014;10.5194/isprsarchives-XL-2-21-2014;https://www.scopus.com/pages/publications/84924273760?origin=resultslist;Conference paper;Final;All Open Access | Gold Open Access | Green Open Access;Scopus
Y;2-s2.0-84925218425;Nösinger T., Klettke M., Heuer A.;NÃ¶singer, Thomas (55531864500) | Klettke, Meike (16039653400) | Heuer, Andreas (9533312500);55531864500 | 16039653400 | 9533312500;A conceptual model for the XML Schema evolution: Overview: Storing, base-model-mapping and visualization;2013;CEUR Workshop Proceedings;1020;;;28;33;;;;https://www.scopus.com/pages/publications/84925218425?origin=resultslist;Conference paper;Final;;Scopus
N;2-s2.0-84925440055;Chen C.-C.;Chen, Chao-Chen (7501959720);7501959720;Investigating the quality and maintenance issues of bibliographic records provided by the e-book supply chain: Using the operations of the Taiwan academic e-book & database consortium as an example;2014;Journal of Educational Media and Library Sciences;51;3;;391;410;;10.6120/joemls.2014.513/0616.rs.am;10.6120/JoEMLS.2014.513/0616.RS.AM;https://www.scopus.com/pages/publications/84925440055?origin=resultslist;Article;Final;;Scopus
Y;2-s2.0-84930429722;Soukup J., Lokanath R., Soukup M.;Soukup, Jiri (55205350100) | Lokanath, Raj (56669701500) | Soukup, Martin (56619391000);55205350100 | 56669701500 | 56619391000;Advanced features, schema migration;2013;Serialization and Persistent Objects: Turning Data Structures into Efficient Databases;9,78364E+12;;;163;174;;10.1007/978-3-642-39323-5_4;10.1007/978-3-642-39323-5_4;https://www.scopus.com/pages/publications/84930429722?origin=resultslist;Book chapter;Final;;Scopus
N;2-s2.0-84930636680;Kaneko H., Funatsu K.;Kaneko, Hiromasa (56080395400) | Funatsu, Kimito (55730038400);56080395400 | 55730038400;Adaptive database management based on the database monitoring index for long-term use of adaptive soft sensors;2015;Chemometrics and Intelligent Laboratory Systems;146;;;179;185;;10.1016/j.chemolab.2015.05.024;10.1016/j.chemolab.2015.05.024;https://www.scopus.com/pages/publications/84930636680?origin=resultslist;Article;Final;;Scopus
